Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
ICE,https://www.tradingview.com/chart/?symbol=ICE,"Intercontinental Exchange, Inc.",Financial Services,152.98,86512099328,20.4,79.7,-0.41,-2.86,41.75,158.12,161.86,False,False,False,NO CLEAR ENTRY,False,50.0,NEUTRAL,5,NYSE Owner and OKX to Launch Perpetual Futures Tied to Oil | Sector Update: Financial Stocks Edge Higher Pre-Bell Friday | New York Stock Exchange To Launch Oil Perpetual Futures,22.3,17.42,3743124992.0,70.986,13.85,37.67,65.85,WATCHLIST
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,131.07,161246838784,58.4,24.1,-11.16,-12.72,41.29,134.95,132.59,False,False,True,NO CLEAR ENTRY,False,59.78,NEUTRAL,5,"Analog Devices Q2 Earnings Beat Estimates, Revenues Rise Y/Y | Crane NXT, Iridium, Napco, and Amphenol Stocks Trade Down, What You Need To Know | Can Rising Demand for Fiber Optics Solutions Drive Corning's Growth?",37.66,23.29,3563725056.0,133.051,36.83,17.24,65.78,WATCHLIST
VLO,https://www.tradingview.com/chart/?symbol=VLO,Valero Energy Corporation,Energy,245.82,72992014336,6.6,,25.13,5.63,47.04,241.22,189.18,True,True,True,BULLISH TREND,False,72.42,POSITIVE,5,Stock Market Leaders Respect The 21-Day Line. You Should Too. | Is Valero Well Positioned to Return Capital to Its Shareholders? | Valero Tests Key Line After Cracking Buy Point Following Refiner's Swing To Profit,17.96,12.54,4786625024.0,42.664,15.85,3.57,65.69,WATCHLIST
CSX,https://www.tradingview.com/chart/?symbol=CSX,CSX Corporation,Industrials,45.755,85019148288,1.7,26.5,9.38,-0.92,59.27,42.92,37.87,True,True,True,BULLISH TREND,False,58.36,NEUTRAL,5,Why Is CSX (CSX) Down 0.6% Since Last Earnings Report? | How CSX’s (CSX) New US$5 Billion Buyback and Tech Leadership Shift Will Impact Investors | A Look At CSX (CSX) Valuation After Strong Recent Share Price Momentum,28.07,21.15,1129874944.0,143.06,23.68,21.55,65.52,WATCHLIST
LIN,https://www.tradingview.com/chart/?symbol=LIN,Linde plc,Basic Materials,516.61,238853226496,8.2,13.4,4.05,1.68,67.62,499.93,462.67,True,True,True,BULLISH TREND,False,60.77,POSITIVE,5,"3 Stocks to Buy Before SpaceX Goes Public | SailingStone Capital Initiates West Fraser Timber Position, According to Recent SEC Filing | Plug Power’s Hydrogen Bet Is Starting To Look Real Again",34.26,26.21,4694499840.0,65.642,18.23,20.44,65.51,WATCHLIST
VTR,https://www.tradingview.com/chart/?symbol=VTR,"Ventas, Inc.",Real Estate,88.27,42914201600,21.9,10.0,2.56,6.44,52.41,85.33,77.28,True,True,True,BULLISH TREND,False,68.19,POSITIVE,5,"GRS Advisors Opens $49 Million Broadstone Net Lease Position, According to Recent SEC Filing | Here is Why Ventas (VTR) is One of the Best Large Cap Stocks to Buy Under $100 | Ventas (VTR) Could Be a Great Choice",160.49,104.26,1483115264.0,93.736,2.14,4.26,65.36,WATCHLIST
PSA,https://www.tradingview.com/chart/?symbol=PSA,Public Storage,Real Estate,305.6258,53651308544,3.2,32.8,1.14,-1.67,60.6,293.44,283.08,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,"How Much Do You Really Need Invested to Replace a $50,000 Salary If Half Your Income Comes From REITs? | Healthcare REITs and Storage Units Prop Up REZ While Residential Faces Headwinds | Beat the Market Like Zacks: Vicor, NVIDIA, UnitedHealth in Focus",31.61,30.23,2337331968.0,107.646,20.18,39.06,65.04,WATCHLIST
LITE,https://www.tradingview.com/chart/?symbol=LITE,Lumentum Holdings Inc.,Technology,963.62,74969636864,90.1,,42.82,13.78,49.03,847.21,442.71,True,True,True,BULLISH TREND,False,62.37,POSITIVE,5,"Lumentum, IBD Stock Of The Day, Focuses On 'Execution' Amid AI Optical Boom | Lumentum's AI Connectivity Portfolio Expands: Is Growth Durable? | Zacks.com featured highlights include Dow, Arrow Electronics and Lumentum",169.35,53.24,93350000.0,111.445,22.83,17.68,64.94,WATCHLIST
BSX,https://www.tradingview.com/chart/?symbol=BSX,Boston Scientific Corporation,Healthcare,57.8,85911330816,11.6,100.0,-22.28,-12.01,53.6,61.61,86.25,False,False,False,NO CLEAR ENTRY,False,55.13,NEUTRAL,5,Why Is Boston Scientific (BSX) Down 13% Since Last Earnings Report? | ISRG's SP Platform: Early-Stage Growth or Next TAM Expansion Driver? | Jim Cramer on Globus Medical: “There Is Not a Lot of Money to Be Made in This One”,24.18,15.36,2807124992.0,42.25,14.66,17.29,64.51,WATCHLIST
FCX,https://www.tradingview.com/chart/?symbol=FCX,Freeport-McMoRan Inc.,Basic Materials,62.295,89552789504,8.8,153.1,-4.76,1.33,63.87,61.21,51.96,True,True,True,BULLISH TREND,False,59.89,NEUTRAL,5,"Texas Instruments, Generac upgraded: Wall Street's top analyst calls | FCX vs. SCCO: Which Copper Mining Giant is a Better Pick Now? | The 30-Year Treasury Just Crossed 5%. Here Are 2 Hard Asset Stocks Under $40 Built for What Comes Next",32.96,16.71,1709874944.0,33.008,15.63,10.34,64.49,WATCHLIST
TXT,https://www.tradingview.com/chart/?symbol=TXT,Textron Inc.,Industrials,91.6899,15943863296,11.8,10.6,-7.18,1.46,52.21,90.33,87.43,True,True,True,BULLISH TREND,False,70.09,POSITIVE,5,What Are Wall Street Analysts' Target Price for Textron Stock? | How Investors May Respond To Textron (TXT) Expanding Asia-Pacific Aircraft Support And Specialized Mission Contracts | 1 Value Stock with Exciting Potential and 2 We Ignore,17.5,12.57,622374976.0,52.674,12.25,6.15,64.46,WATCHLIST
AON,https://www.tradingview.com/chart/?symbol=AON,Aon plc,Financial Services,322.12,68797407232,6.5,27.1,2.43,-0.18,57.28,320.96,341.03,True,False,False,NO CLEAR ENTRY,False,51.67,NEUTRAL,5,4 Insurance Brokerage Stocks to Gain From Demand and M&A | Aon (AON) Valuation Check As Digital Placement Exchange Plan Targets London Market Trading Reform | Aon Advances Digital Risk Strategy With 2026 Debut of Aon DPX,17.68,15.05,3341625088.0,155.05,46.45,22.54,64.33,WATCHLIST
NTRS,https://www.tradingview.com/chart/?symbol=NTRS,Northern Trust Corporation,Financial Services,167.88,31065735168,13.9,42.6,20.26,1.51,72.52,154.08,139.13,True,True,True,WATCH - OVERBOUGHT,False,74.35,POSITIVE,5,Why Is Northern Trust (NTRS) Down 1.1% Since Last Earnings Report? | Does Northern Trust’s Expanding ETF and Institutional Platform Deepen Its Moat for NTRS Investors? | 2 Cash-Heavy Stocks with Promising Prospects and 1 Facing Headwinds,17.6,14.14,,,14.46,22.36,64.05,WATCHLIST
DAL,https://www.tradingview.com/chart/?symbol=DAL,"Delta Air Lines, Inc.",Industrials,76.3,50128670720,12.9,,14.7,11.89,68.77,68.32,64.39,True,True,True,BULLISH TREND,False,53.4,NEUTRAL,5,"Greg Abel Just Bought Delta Airlines for Berkshire Hathaway's Portfolio. Here's the Big Reason Why. | Delta (DAL) Stock Trades Up, Here Is Why | Delta Air Lines (DAL) Laps the Stock Market: Here's Why",11.14,9.49,3093374976.0,105.021,24.99,6.87,63.92,WATCHLIST
MA,https://www.tradingview.com/chart/?symbol=MA,Mastercard Incorporated,Financial Services,499.42,441279479808,15.8,21.2,0.86,-0.59,46.03,501.55,542.0,False,False,False,NO CLEAR ENTRY,False,42.58,NEUTRAL,5,Market Chatter: Mastercard Asks Brazil's Payment Processors to Help Pay for Banco Master Failure | Should Visa & Mastercard Investors Worry About UK & Europe's Moves? | UK PSR proposes new reporting rules for Mastercard and Visa,28.88,21.94,16148124672.0,282.059,232.08,45.88,63.91,WATCHLIST
URI,https://www.tradingview.com/chart/?symbol=URI,"United Rentals, Inc.",Industrials,943.7,59119554560,7.2,6.6,7.13,-4.17,54.83,837.93,869.9,True,True,False,BULLISH TREND,False,61.16,POSITIVE,5,United Rentals (URI) Down 5.5% Since Last Earnings Report: Can It Rebound? | What to Know About This Fund's $7 Million Bet on an AI-Focused IT Turnaround | What to Know About This Fund's $7 Million Bet on Calvin Klein and Tommy Hilfiger Owner PVH,24.1,17.53,1870625024.0,167.473,28.24,15.32,63.54,WATCHLIST
ADBE,https://www.tradingview.com/chart/?symbol=ADBE,Adobe Inc.,Technology,244.415,98792538112,12.0,11.1,-0.92,2.27,42.69,244.88,305.79,False,False,False,NO CLEAR ENTRY,False,58.6,NEUTRAL,5,Trump’s Tech Trades Put Fresh Focus On Adobe Governance And Investors | Design Software Stocks Q1 Results: Benchmarking Adobe (NASDAQ:ADBE) | Adobe Systems (ADBE) Stock Dips While Market Gains: Key Facts,14.24,9.26,9321374720.0,58.34,58.77,29.48,63.44,WATCHLIST
EW,https://www.tradingview.com/chart/?symbol=EW,Edwards Lifesciences Corporation,Healthcare,85.3,49115742208,16.7,8.2,3.47,7.0,56.38,81.45,81.33,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Are Wall Street Analysts Bullish on Edwards Lifesciences Stock? | Edwards Lifesciences' (NYSE:EW) Conservative Accounting Might Explain Soft Earnings | Edwards Lifesciences (EW) is Benefitting from Expanding Its Aortic Valve Franchise,46.11,25.36,902137472.0,6.806,10.46,17.39,63.3,WATCHLIST
UDR,https://www.tradingview.com/chart/?symbol=UDR,"UDR, Inc.",Real Estate,37.785,13999933440,4.2,151.6,2.38,8.24,69.13,35.4,35.78,True,True,False,BULLISH TREND,False,57.11,NEUTRAL,5,Gasoline Prices Aren’t the Only Inflation Threat. Watch Housing Costs. | UDR becomes first REIT to go to a monthly dividend | How The UDR (UDR) Investment Story Is Shifting With New Guidance And Analyst Rethinks,25.88,62.98,1007130496.0,142.368,12.35,27.78,63.27,WATCHLIST
UNH,https://www.tradingview.com/chart/?symbol=UNH,UnitedHealth Group Incorporated,Healthcare,387.735,352119357440,2.0,0.7,38.4,9.36,62.47,330.63,321.04,True,True,True,BULLISH TREND,False,47.04,NEUTRAL,5,Molina (MOH) Up 3.8% Since Last Earnings Report: Can It Continue? | UnitedHealth Group (UNH) – Among the 10 High Quality Stocks to Buy According to Hedge Funds | Why UnitedHealth (UNH) Remains a Turnaround Bet Despite Policy and Cost Pressure,29.22,18.64,17687500800.0,73.982,12.18,2.68,63.21,WATCHLIST
CME,https://www.tradingview.com/chart/?symbol=CME,CME Group Inc.,Financial Services,292.05,105524305920,14.4,21.3,-4.77,2.3,51.61,295.67,277.25,False,True,True,NO CLEAR ENTRY,False,52.96,NEUTRAL,5,CME (CME) Up 1.3% Since Last Earnings Report: Can It Continue? | NYSE Owner and OKX to Launch Perpetual Futures Tied to Oil | Deere Shares Tumble With Farmers Facing ‘Ongoing Challenges’,24.92,22.63,3030237440.0,14.059,15.92,63.32,62.94,WATCHLIST
IBM,https://www.tradingview.com/chart/?symbol=IBM,International Business Machines Corporation,Technology,256.4,240986587136,9.5,14.2,15.64,11.77,71.31,236.61,266.58,True,False,False,WATCH - OVERBOUGHT,False,51.67,NEUTRAL,5,"Quantum stocks surge as US govt. invests $2B, takes equity stakes | Stock Market Today: Dow Charges Higher As These Stocks Soar Ahead Of SpaceX IPO Plans (Live Coverage) | IBM shares extend rally as Wedbush calls US quantum investment a ""new catalyst""",22.67,19.06,13080750080.0,211.169,35.77,15.61,62.93,WATCHLIST
ZBRA,https://www.tradingview.com/chart/?symbol=ZBRA,Zebra Technologies Corporation,Technology,254.42,12118887424,14.3,3.8,9.99,12.14,66.7,223.92,259.61,True,False,False,NO CLEAR ENTRY,False,55.81,NEUTRAL,5,2 Reasons to Watch ZBRA and 1 to Stay Cautious | 1 Mid-Cap Stock Worth Your Attention and 2 We Turn Down | The 5 Most Interesting Analyst Questions From Zebra’s Q1 Earnings Call,30.69,12.29,559000000.0,82.104,11.78,7.49,62.91,WATCHLIST
TSN,https://www.tradingview.com/chart/?symbol=TSN,"Tyson Foods, Inc.",Consumer Defensive,65.92,23212369920,4.4,3602.2,5.55,1.06,29.7,64.46,58.67,True,True,True,BULLISH TREND,False,64.47,POSITIVE,5,Consumer Staples Sector Regains Momentum in 2026: 5 Top Picks | Can Tyson Foods Sustain Momentum Amid Rising Protein Demand? | Darling Ingredients Benefiting From Rising Health Food Demand Trends?,51.91,14.36,1029000000.0,44.41,2.62,0.81,62.86,WATCHLIST
HST,https://www.tradingview.com/chart/?symbol=HST,"Host Hotels & Resorts, Inc.",Real Estate,22.385,15529958400,2.8,105.3,14.49,6.24,71.57,20.42,18.09,True,True,True,WATCH - OVERBOUGHT,False,57.53,NEUTRAL,5,Three Compelling Dividend Stocks To Consider | 3 Dividend Stocks To Consider For Your Portfolio | 3 Leading Dividend Stocks Yielding Over 3%,15.23,22.39,1190875008.0,80.482,14.87,16.37,62.85,WATCHLIST
JPM,https://www.tradingview.com/chart/?symbol=JPM,JPMorgan Chase & Co.,Financial Services,306.3,820734263296,12.7,17.2,3.43,-1.73,48.72,301.21,303.26,True,True,False,BULLISH TREND,False,49.74,NEUTRAL,5,Jamie Dimon says AI is changing bank jobs as Wall Street backs crypto | Chicago’s Old Finance Hub Gets New Life From ‘Google Effect’ | Warner Bros. Discovery increases leveraged loan backing Paramount Skydance deal atop $10B,14.67,13.01,,,16.47,33.94,62.78,WATCHLIST
ALGN,https://www.tradingview.com/chart/?symbol=ALGN,"Align Technology, Inc.",Healthcare,164.045,11748595712,6.2,23.9,-9.5,-13.96,40.88,174.23,157.49,False,True,True,BUY THE DIP,False,50.65,NEUTRAL,5,Is Align Technology (ALGN) Stock Outpacing Its Medical Peers This Year? | Reasons to Add Align Technology Stock to Your Portfolio Now | 3 Cash-Producing Stocks That Fall Short,27.57,13.25,538981504.0,2.797,10.82,10.5,62.75,WATCHLIST
MPC,https://www.tradingview.com/chart/?symbol=MPC,Marathon Petroleum Corporation,Energy,254.06,74169425920,8.8,,32.26,15.35,51.69,237.99,197.58,True,True,True,BULLISH TREND,False,63.63,POSITIVE,5,Here's How Much You'd Have If You Invested $1000 in Marathon Petroleum a Decade Ago | Valero Tests Key Line After Cracking Buy Point Following Refiner's Swing To Profit | Three Oil Stocks Circle Buy Points With Crude Prices High,16.74,11.35,3518749952.0,146.523,27.46,3.41,62.74,WATCHLIST
IRM,https://www.tradingview.com/chart/?symbol=IRM,Iron Mountain Incorporated,Real Estate,127.075,37807947776,21.6,860.0,15.22,9.43,47.8,114.76,99.27,True,True,True,BULLISH TREND,False,57.1,NEUTRAL,5,"Record AI-Fueled Data Center Leasing Could Be A Game Changer For Iron Mountain (IRM) | A Look At Iron Mountain (IRM) Valuation After Strong Q1 Growth And Raised AI Driven Data Center Guidance | Zacks Investment Ideas feature highlights: Iron Mountain, Cisco and nVent Electric",138.12,47.53,-499464512.0,,,3.76,62.67,WATCHLIST
PNC,https://www.tradingview.com/chart/?symbol=PNC,"The PNC Financial Services Group, Inc.",Financial Services,220.235,88438587392,13.8,17.7,0.52,-2.16,53.58,214.24,204.11,True,True,True,BULLISH TREND,False,59.82,NEUTRAL,5,"Why The PNC Financial Services Group, Inc (PNC) is a Top Dividend Stock for Your Portfolio | 3 S&P 500 Stocks We Approach with Caution | PNC's Expansion Strategy: Growth Through Acquisitions & Partnerships",12.8,10.49,,,12.1,31.31,62.59,WATCHLIST
ADSK,https://www.tradingview.com/chart/?symbol=ADSK,"Autodesk, Inc.",Technology,241.456,50982285312,19.4,6.3,10.44,4.08,44.43,239.88,275.98,True,False,False,NO CLEAR ENTRY,False,53.35,NEUTRAL,5,Gear Up for Autodesk (ADSK) Q1 Earnings: Wall Street Estimates for Key Metrics | Autodesk (ADSK) Stock Drops Despite Market Gains: Important Facts to Note | Zoom Communications (ZM) Q1 Earnings and Revenues Top Estimates,46.08,17.11,2787000064.0,89.787,39.67,15.6,62.47,WATCHLIST
INTU,https://www.tradingview.com/chart/?symbol=INTU,Intuit Inc.,Technology,311.7,85261484032,10.4,10.7,-13.04,-18.68,26.63,401.87,556.55,False,False,False,NO CLEAR ENTRY,False,66.32,POSITIVE,5,Intuit's Strong Q3 Fuels FY26 Raise: Can Growth Engines Keep Firing? | INTU Q1 Deep Dive: Workforce Reduction and Assisted Tax Growth Amid Market Contraction | Earnings Release: Here's Why Analysts Cut Their Intuit Inc. (NASDAQ:INTU) Price Target To US$525,19.01,11.47,5232000000.0,33.448,22.5,21.91,62.36,WATCHLIST
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,72.87,28118566912,15.0,92.2,-0.53,16.22,77.01,63.47,67.96,True,True,False,WATCH - OVERBOUGHT,False,54.24,NEUTRAL,5,"Harnessing medtech market alliances, ŌURA sets IPO plans in motion | Analysts Upgrade DexCom (DXCM) to “Outperform,” Driving Share Recovery | Oura Rings Maker Files Confidentially for IPO",31.27,23.89,1056637504.0,46.833,35.62,19.31,62.34,WATCHLIST
BNY,https://www.tradingview.com/chart/?symbol=BNY,BNY,Financial Services,140.15,96196009984,13.4,41.8,21.78,3.9,74.34,127.98,115.34,True,True,True,WATCH - OVERBOUGHT,False,52.6,NEUTRAL,3,Nvidia Who? This Highflier Keeps Popping Onto This Elite Screen | How to close the stock market wealth gap | The biggest investing risk? Not investing!,17.39,14.54,,,13.47,28.72,62.31,WATCHLIST
AJG,https://www.tradingview.com/chart/?symbol=AJG,Arthur J. Gallagher & Co.,Financial Services,204.62,52575469568,34.6,16.2,-4.24,-6.72,47.62,211.5,249.99,False,False,False,NO CLEAR ENTRY,False,68.96,POSITIVE,5,"4 Insurance Brokerage Stocks to Gain From Demand and M&A | Citigroup Sees a Return Opportunity in Insurance Brokers, Upgrades Arthur J. Gallagher (AJG) | 3 Cash-Producing Stocks to Target This Week",33.11,13.78,1080225024.0,56.18,7.01,11.35,62.12,WATCHLIST
TRI,https://www.tradingview.com/chart/?symbol=TRI,Thomson Reuters Corporation,Industrials,85.745,37431025664,9.8,5.6,8.49,-2.72,36.74,88.62,122.62,False,False,False,NO CLEAR ENTRY,False,52.06,NEUTRAL,5,Thomson Reuters (TRI) and Sterne Kessler Launch AI Patent Tool | Thomson Reuters' (TSE:TRI) Problems Go Beyond Weak Profit | Anthropic Expands Push Into Legal Industry With New AI Tools,24.71,16.94,1677874944.0,22.85,12.73,19.93,62.06,WATCHLIST
RMD,https://www.tradingview.com/chart/?symbol=RMD,ResMed Inc.,Healthcare,208.09,30184781824,10.8,10.5,-19.97,-4.92,48.86,218.27,249.32,False,False,False,NO CLEAR ENTRY,False,61.64,POSITIVE,5,How Investors Are Reacting To ResMed (RMD) Linking Oura Ring Wearables To Clinical Sleep Care | Is the Options Market Predicting a Spike in ResMed Stock? | ResMed (RMD) Valuation Check As Oura Sleep Health Collaboration Aims To Expand Sleep Apnea Care Access,20.07,17.06,1446655104.0,12.988,25.25,27.44,61.98,WATCHLIST
KIM,https://www.tradingview.com/chart/?symbol=KIM,Kimco Realty Corporation,Real Estate,24.095,16249420800,4.0,29.4,4.08,1.07,62.0,23.24,21.56,True,True,True,BULLISH TREND,False,63.51,POSITIVE,5,Realty Income's Occupancy Edge: Can 98.9% Stability Hold? | Kimco Realty Sued by Coffee Drip Over Allegations of Fraudulent Business Practices | Why Kimco Realty (KIM) is a Great Dividend Stock Right Now,27.7,28.08,838712128.0,78.788,5.86,28.54,61.88,WATCHLIST
ADM,https://www.tradingview.com/chart/?symbol=ADM,Archer-Daniels-Midland Company,Consumer Defensive,77.79,37491396608,1.6,0.9,15.68,11.81,56.02,72.87,64.12,True,True,True,BULLISH TREND,False,55.61,NEUTRAL,5,Here's Why Archer Daniels Midland (ADM) is a Strong Momentum Stock | 5 Broker-Adored Stocks to Watch Amid Escalating Middle East Tensions | Consumer Staples Sector Regains Momentum in 2026: 5 Top Picks,34.73,14.98,1578499968.0,46.128,4.77,1.34,61.8,WATCHLIST
KO,https://www.tradingview.com/chart/?symbol=KO,The Coca-Cola Company,Consumer Defensive,81.295,349770285056,12.1,18.2,1.61,6.57,74.94,77.44,72.14,True,True,True,WATCH - OVERBOUGHT,False,57.08,NEUTRAL,5,The Buffett Paradox: Why the World’s Greatest Stock Picker Tells You Not to Pick Stocks | 5 Soft Drinks Stocks to Track Amid Margin & Tariff Pressures | The 6.4 Percent Yield Portfolio That Lets a 70-Year-Old Sleep Through Every Market Selloff Since 2020,25.56,23.34,3124250112.0,124.943,43.37,27.8,61.77,WATCHLIST
TRMB,https://www.tradingview.com/chart/?symbol=TRMB,Trimble Inc.,Technology,56.505,13171966976,11.8,55.6,-13.63,-15.71,15.91,64.1,73.94,False,False,False,NO CLEAR ENTRY,False,63.5,POSITIVE,5,Assessing Trimble (TRMB) Valuation After Recent Share Price Pullback And Subscription Growth Narrative | Trimble Glacier Mapping Highlights Growing Role In Climate And Geospatial Work | Autodesk Enhances AI Capabilities: Can It Unlock More Revenues?,29.58,13.89,370112512.0,25.062,8.25,12.38,61.73,WATCHLIST
ROP,https://www.tradingview.com/chart/?symbol=ROP,"Roper Technologies, Inc.",Technology,326.48,32947501056,11.3,59.2,-2.5,-10.25,30.04,348.04,421.99,False,False,False,NO CLEAR ENTRY,False,50.21,NEUTRAL,5,Roper Technologies Stock: Is Wall Street Bullish or Bearish? | Roche Breast Cancer Data At ASCO 2026 Tests Pipeline Narrative | A Look At Roper Technologies (ROP) Valuation After Recent Share Price Weakness,20.39,13.66,2169925120.0,55.606,9.01,21.12,61.62,WATCHLIST
DOV,https://www.tradingview.com/chart/?symbol=DOV,Dover Corporation,Industrials,209.796,28251424768,10.1,5.3,-8.86,-8.04,34.2,215.33,196.44,False,True,True,BUY THE DIP,False,56.29,NEUTRAL,5,Dover Stock Outlook: Is Wall Street Bullish or Bearish? | Assessing Dover (DOV) Valuation As Recent Share Price Momentum Cools | 3 Unpopular Stocks We Keep Off Our Radar,26.22,18.1,840764352.0,43.927,15.0,13.3,61.6,WATCHLIST
NTAP,https://www.tradingview.com/chart/?symbol=NTAP,"NetApp, Inc.",Technology,139.38,27605653504,4.4,16.0,39.36,28.58,85.51,108.03,109.13,True,True,False,WATCH - OVERBOUGHT,False,53.64,NEUTRAL,5,"Networking and hardware poised for gains, Evercore flags top stocks to own | Wall Street's Insights Into Key Metrics Ahead of NetApp (NTAP) Q4 Earnings | IT Hardware Stocks May Not Fully Reflect Macro, Earnings Risks, Morgan Stanley Says",23.39,16.34,1116000000.0,236.097,112.59,18.07,61.19,WATCHLIST
HSY,https://www.tradingview.com/chart/?symbol=HSY,The Hershey Company,Consumer Defensive,193.635,39277576192,10.6,93.6,-13.69,1.57,68.89,197.11,190.83,False,True,True,NO CLEAR ENTRY,False,56.75,NEUTRAL,5,"Hershey (HSY) Valuation Check As Pokémon Collaboration Puts Growth Expectations In Focus | The CEO Who Rescued Potbelly Is Now Taking Over Wendy’s — Here’s What to Expect | As cocoa prices melt down, real chocolate makes a comeback",36.06,19.56,1527240576.0,120.011,23.23,9.12,61.19,WATCHLIST
WTW,https://www.tradingview.com/chart/?symbol=WTW,Willis Towers Watson Public Limited Company,Financial Services,256.98,24271241216,8.5,33.0,-11.56,-11.66,47.27,277.55,310.87,False,False,False,NO CLEAR ENTRY,False,56.44,NEUTRAL,5,4 Insurance Brokerage Stocks to Gain From Demand and M&A | How Margin Pressure And Legal Scrutiny At Willis Towers Watson (WTW) Has Changed Its Investment Story | Fortegra names Iwan Röpcke as Belgium CEO,15.1,11.6,2052125056.0,85.693,20.61,16.84,61.12,WATCHLIST
KVUE,https://www.tradingview.com/chart/?symbol=KVUE,Kenvue Inc.,Consumer Defensive,17.57,33734551552,4.5,46.9,-6.17,1.67,65.04,17.23,17.18,True,True,True,BULLISH TREND,False,55.42,NEUTRAL,5,Kimberly-Clark Reshapes Portfolio With Kenvue Deal And Pull-Ups Launch | Greyparrot and Kenvue partner on packaging recyclability data | Kenvue tracks packaging through recycling stream with Greyparrot’s AI,20.92,14.27,1858000000.0,82.975,15.7,10.61,61.08,WATCHLIST
VRSN,https://www.tradingview.com/chart/?symbol=VRSN,"VeriSign, Inc.",Technology,310.545,28259596288,6.6,11.4,47.23,12.43,87.08,269.07,255.6,True,True,True,WATCH - OVERBOUGHT,False,66.61,POSITIVE,5,"The Bull Case For VeriSign (VRSN) Could Change Following Strong Q1, Higher Guidance And Dividend News - Learn Why | Is VeriSign, Inc. (VRSN) A Good Stock To Buy Now? | VeriSign, Inc. Q1 2026 Earnings Call Summary",34.28,29.15,807275008.0,,,49.96,61.03,WATCHLIST
AXON,https://www.tradingview.com/chart/?symbol=AXON,"Axon Enterprise, Inc.",Industrials,385.955,31108773888,33.7,89.8,-8.85,-1.7,47.53,414.19,573.93,False,False,False,NO CLEAR ENTRY,False,63.27,POSITIVE,5,Axon Vision Retail Case Study Opens New Chapter For Axon Enterprise Investors | Assessing Axon Enterprise (AXON) Valuation After A Sharp Pullback In Long Term Winners | Jim Cramer on Axon: “I Still Think That This Market Does Not Like High Multiple Stocks”,155.0,36.5,62617500.0,52.074,6.77,6.91,60.96,WATCHLIST
AMT,https://www.tradingview.com/chart/?symbol=AMT,American Tower Corporation,Real Estate,183.82,85640462336,6.8,76.9,-2.31,2.69,54.48,176.88,181.29,True,True,False,BULLISH TREND,False,61.6,POSITIVE,5,"OUT Taps Into LA Union Station to Expand Experiential Ad Opportunities | Is American Tower (AMT) Stock Outpacing Its Finance Peers This Year? | Why AST SpaceMobile Is the Bigger Winner of the AT&T, T-Mobile, and Verizon Joint Venture",29.7,26.62,4614362624.0,444.55,29.95,26.81,60.88,WATCHLIST
ACGL,https://www.tradingview.com/chart/?symbol=ACGL,Arch Capital Group Ltd.,Financial Services,96.28,33639229440,-3.3,94.6,-2.45,-1.83,66.79,95.33,93.42,True,True,True,BULLISH TREND,False,74.97,POSITIVE,5,Do Wall Street Analysts Like Arch Capital Stock? | Arch Capital Group (ACGL): Best Large Cap Stocks to Buy Under $100 | ACGL's Solid Growth Comes With a Premium Valuation: Hold or Buy?,7.41,9.72,5276125184.0,11.282,21.31,24.64,60.85,WATCHLIST
MS,https://www.tradingview.com/chart/?symbol=MS,Morgan Stanley,Financial Services,202.59,319542132736,16.3,31.9,22.11,7.97,70.72,179.7,167.98,True,True,True,WATCH - OVERBOUGHT,False,46.6,NEUTRAL,5,Raymond James Financial (RJF) Down 2% Since Last Earnings Report: Can It Rebound? | Dell Stock Leads the S&P 500 Today. Next Week’s Earnings Could Send It Higher. | BAC Slips 6.5% So Far This Year: Should You Still Buy the Stock?,18.33,15.95,,502.246,16.39,24.75,60.83,WATCHLIST
QCOM,https://www.tradingview.com/chart/?symbol=QCOM,QUALCOMM Incorporated,Technology,237.997,250848837632,-3.5,173.0,70.59,77.68,70.93,156.56,159.38,True,True,False,WATCH - OVERBOUGHT,False,50.0,NEUTRAL,5,"Wall St climbs, Dow at record high with US-Iran talks in spotlight | Prediction: Analysts Say Qualcomm Stock Is Set For A Massive Breakout | Melius Research Raises Qualcomm (QCOM) Price Target, Sees More Upside in AI Semiconductor Stocks",25.59,22.38,9589624832.0,55.979,36.08,22.31,60.75,WATCHLIST
WAB,https://www.tradingview.com/chart/?symbol=WAB,Westinghouse Air Brake Technologies Corporation,Industrials,257.745,43733487616,13.0,12.8,-1.97,-4.34,45.53,257.45,224.48,True,True,True,BULLISH TREND,False,50.14,NEUTRAL,5,Wabtec (WAB) Down 5.3% Since Last Earnings Report: Can It Rebound? | Are Transportation Stocks Lagging  TEEKAY TANK LTD (TNK) This Year? | 2 Large-Cap Stocks for Long-Term Investors and 1 We Ignore,36.46,21.25,1123250048.0,62.03,11.31,10.52,60.66,WATCHLIST
