Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,529.975,182672916480,45.5,482.9,96.32,28.4,63.33,398.16,230.4,True,True,True,BULLISH TREND,False,66.26,POSITIVE,5,"Can Western Digital Deliver Continued Gross Margin Improvement? | Sandisk's QLC Stargate Gains Traction: A New Revenue Growth Catalyst? | Sandisk Rockets 4000% on AI Memory Boom: Buy, Hold, or Take Profits?",31.68,30.09,2075000064.0,17.81,85.92,55.29,90.5,BUY SIGNAL
AMP,https://www.tradingview.com/chart/?symbol=AMP,"Ameriprise Financial, Inc.",Financial Services,444.6,39968247808,9.0,66.0,-6.12,-6.13,32.67,455.31,475.23,False,False,False,NO CLEAR ENTRY,False,56.01,NEUTRAL,5,Former Wells Fargo Team Rejoins the Firm From Ameriprise | Do Wall Street Analysts Like Ameriprise Financial Stock? | AI Could Kill the Brokerage Industry’s Cash Cow,11.08,9.33,3355624960.0,56.246,66.94,20.17,64.03,WATCHLIST
TXT,https://www.tradingview.com/chart/?symbol=TXT,Textron Inc.,Industrials,91.95,15989090304,11.8,10.6,-8.65,2.42,53.24,90.44,87.72,True,True,True,BULLISH TREND,False,64.5,POSITIVE,5,Q1 Earnings Roundup: Textron (NYSE:TXT) And The Rest Of The Aerospace Segment | Strength in Defense Aerospace Drives RBC Bearings: Can the Momentum Sustain? | What Are Wall Street Analysts' Target Price for Textron Stock?,17.55,12.6,622374976.0,52.674,12.25,6.15,64.01,WATCHLIST
DOC,https://www.tradingview.com/chart/?symbol=DOC,"Healthpeak Properties, Inc.",Real Estate,19.33,13326483456,7.1,363.9,11.54,21.53,45.82,17.55,17.1,True,True,True,BULLISH TREND,False,64.02,POSITIVE,5,8 Dividend S&P 500 Stocks Yield Enough To Still Be Worthwhile | Healthpeak Properties Gains 22.7% Year to Date: Will the Trend Last? | SPHD’s High Dividend Low Volatility Promise Has Returned Just 6 Percent Annualized While the S&P 500 Doubled It,60.41,143.19,1109761536.0,118.243,2.8,7.73,63.87,WATCHLIST
ADP,https://www.tradingview.com/chart/?symbol=ADP,"Automatic Data Processing, Inc.",Technology,222.14,88796971008,7.0,10.5,4.19,3.29,60.33,207.56,245.89,True,False,False,NO CLEAR ENTRY,False,53.29,NEUTRAL,5,Why Is ADP (ADP) Up 3.7% Since Last Earnings Report? | May 2026 Dividend Stocks To Enhance Your Portfolio | Data & Business Process Services Stocks Q1 In Review: ADP (NASDAQ:ADP) Vs Peers,20.7,18.22,4749387264.0,69.259,71.21,20.12,63.81,WATCHLIST
MRVL,https://www.tradingview.com/chart/?symbol=MRVL,"Marvell Technology, Inc.",Technology,203.72,178367692800,27.6,-80.4,152.07,30.11,67.7,146.64,98.37,True,True,True,BULLISH TREND,False,57.44,NEUTRAL,5,"Stock Market Hits Highs On Iran Deal Hopes; Dell, NetApp, Okta Lead Earnings Winners: Weekly Review | MRVL Experiences Slow Expansion in Gross Margin: What's Ahead? | NVIDIA vs. Marvell Technology: Which AI Chip Stock Has the Edge?",70.01,36.83,2324512512.0,27.236,16.03,28.99,63.8,WATCHLIST
MCHP,https://www.tradingview.com/chart/?symbol=MCHP,Microchip Technology Incorporated,Technology,95.38,51703521280,35.1,,29.0,6.31,43.03,82.29,69.78,True,True,True,BULLISH TREND,False,63.3,POSITIVE,5,"Tradr Launches Leveraged ETFs on Microchip, NXP, and ON Semi | Microchip Technology Incorporated (MCHP) Capitalizes on Data Center and AI Boom | AI Chips Today - Transforming Power: Microchip's Silicon Carbide Modules Revolutionize Efficiency",433.55,23.31,1139912448.0,87.715,3.4,4.88,63.76,WATCHLIST
IRM,https://www.tradingview.com/chart/?symbol=IRM,Iron Mountain Incorporated,Real Estate,127.41,37907619840,21.6,860.0,16.42,11.26,46.35,116.4,100.04,True,True,True,BULLISH TREND,False,66.41,POSITIVE,5,Are Business Services Stocks Lagging  Clean Harbors (CLH) This Year? | 3 Reasons Growth Investors Will Love Iron Mountain (IRM) | Record AI-Fueled Data Center Leasing Could Be A Game Changer For Iron Mountain (IRM),137.0,47.65,-499464512.0,,,3.76,63.41,WATCHLIST
UDR,https://www.tradingview.com/chart/?symbol=UDR,"UDR, Inc.",Real Estate,37.565,13918419968,4.2,151.6,1.57,3.89,59.03,35.63,35.8,True,True,False,BULLISH TREND,False,58.37,NEUTRAL,5,Here’s Why UDR is Among the 10 Best Residential REITs to Buy in 2026 | Gasoline Prices Aren’t the Only Inflation Threat. Watch Housing Costs. | UDR becomes first REIT to go to a monthly dividend,25.55,62.61,1007130496.0,142.368,12.35,27.78,63.37,WATCHLIST
COST,https://www.tradingview.com/chart/?symbol=COST,Costco Wholesale Corporation,Consumer Defensive,952.54,422317293568,21.5,45.5,-4.93,-4.48,38.63,1006.49,955.05,False,False,True,NO CLEAR ENTRY,False,57.1,NEUTRAL,5,Costco sells 'record-breaking' amounts of gas as fuel costs soar | Why Costco Stock Was Sliding Today | Where Will Costco Stock be In 2029?,49.55,42.07,6690375168.0,60.257,29.65,2.99,63.22,WATCHLIST
WTW,https://www.tradingview.com/chart/?symbol=WTW,Willis Towers Watson Public Limited Company,Financial Services,251.99,23799945216,8.5,33.0,-16.87,-13.14,45.21,274.76,309.44,False,False,False,NO CLEAR ENTRY,False,52.62,NEUTRAL,5,"Willis Towers Stock: Analyst Estimates & Ratings | Zacks Industry Outlook Highlights Arthur J. Gallagher, Aon, Brown and Brown and Willis Towers Watson Public | A Look At Willis Towers Watson (WTW) Valuation After Law Firm Investigation And Q1 2026 Slowdown",14.8,11.36,2052125056.0,85.693,20.61,16.84,63.01,WATCHLIST
CME,https://www.tradingview.com/chart/?symbol=CME,CME Group Inc.,Financial Services,276.85,100032208896,14.4,21.3,-13.17,-3.63,46.07,293.02,277.38,False,False,True,NO CLEAR ENTRY,False,53.61,NEUTRAL,5,"XRP Leads Crypto Rebound, Outperforming Bitcoin Before The Weekend 'CME Gap' Gets Eliminated | Goodbye CME Gap! Bitcoin Futures Now Trade 24/7 | Why Is The Crypto Market Down Today?",23.64,21.45,3030237440.0,14.059,15.92,63.32,62.99,WATCHLIST
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,73.58,28392536064,15.0,92.2,-0.27,27.83,75.09,63.91,67.83,True,True,False,WATCH - OVERBOUGHT,False,59.79,NEUTRAL,5,"How The DexCom (DXCM) Investment Story Is Shifting With New Guidance And Valuation Resets | Signos raises $20M, expands Dexcom partnership for weight loss | Live Longer and Better. Does ’Biohacking’ Really Work?",31.58,24.01,1056637504.0,46.833,35.62,19.31,62.78,WATCHLIST
UNH,https://www.tradingview.com/chart/?symbol=UNH,UnitedHealth Group Incorporated,Healthcare,379.88,344985894912,2.0,0.7,29.8,2.47,49.93,338.32,323.71,True,True,True,BULLISH TREND,False,41.18,NEUTRAL,5,Massachusetts sues UnitedHealth unit over alleged Medicaid fraud | 3 Dow Jones Stocks to Consider Right Now | Humana (HUM) Up 30.6% Since Last Earnings Report: Can It Continue?,28.63,18.2,17687500800.0,73.982,12.18,2.68,62.74,WATCHLIST
BNY,https://www.tradingview.com/chart/?symbol=BNY,BNY,Financial Services,140.24,96257794048,13.4,41.8,17.85,6.03,81.54,129.98,116.11,True,True,True,WATCH - OVERBOUGHT,False,54.68,NEUTRAL,5,Robinhood Stock Spikes. It’s About More Than Its Trump Account Partnership. | The Trump Account App Has Launched. Here’s What Parents Need to Know. | Q1 Earnings Highlights: BNY (NYSE:BK) Vs The Rest Of The Custody Bank Stocks,17.42,14.51,,,13.47,28.72,62.47,WATCHLIST
WELL,https://www.tradingview.com/chart/?symbol=WELL,Welltower Inc.,Real Estate,207.12,146208997376,38.3,157.9,-1.11,-2.01,40.45,208.36,190.66,False,True,True,NO CLEAR ENTRY,False,66.23,POSITIVE,5,Welltower (WELL) Up 1% Since Last Earnings Report: Can It Continue? | Scotiabank Raises its Price Target on Welltower (WELL) | Welltower Stock Gains 16.9% Year to Date: Will It Continue to Rise?,100.54,61.64,2600212736.0,44.486,3.67,11.96,62.45,WATCHLIST
CSX,https://www.tradingview.com/chart/?symbol=CSX,CSX Corporation,Industrials,45.155,83904258048,1.7,26.5,4.6,1.06,52.31,43.43,38.09,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Brookfield Infrastructure Could Quietly Cash In on the Coming Rail Megamerger | Union Pacific vs. CSX: Better Railroad Stock in 2026? | CSX Corporation (NASDAQ:CSX) Pays A US$0.14 Dividend In Just Two Days,27.7,20.88,1129874944.0,143.06,23.68,21.55,62.4,WATCHLIST
ZBRA,https://www.tradingview.com/chart/?symbol=ZBRA,Zebra Technologies Corporation,Technology,245.38,11688282112,14.3,3.8,9.58,13.84,60.34,227.44,258.23,True,False,False,NO CLEAR ENTRY,False,48.5,NEUTRAL,5,5 Stocks With Real Revenue From Physical AI Today (Not 2030 Promises) | What Are Wall Street Analysts' Target Price for Zebra Technologies Stock? | Is Zebra Technologies (ZBRA) Pricing Reflect Recent Rebound And Long Term Share Price Weakness,29.67,11.85,559000000.0,82.104,11.78,7.49,62.33,WATCHLIST
ADBE,https://www.tradingview.com/chart/?symbol=ADBE,Adobe Inc.,Technology,254.76,102973988864,12.0,11.1,-2.35,4.59,51.2,244.36,303.91,True,False,False,NO CLEAR ENTRY,False,44.55,NEUTRAL,5,"Adobe (ADBE) is Future Proofing with AI Agents | Adobe’s Own AI Tool Is Destroying Its Own Stock Photo Business. Management Just Admitted It | Michael Burry Calls Adobe A ‘Fat Pitch’ In Latest Saas Analysis – Backs Firefly And AI Tie-Ups With OpenAI, Google",14.84,9.66,9321374720.0,58.34,58.77,29.48,62.31,WATCHLIST
CFG,https://www.tradingview.com/chart/?symbol=CFG,"Citizens Financial Group, Inc.",Financial Services,61.87,26163705856,13.8,46.8,2.01,-3.24,39.71,62.23,56.97,False,True,True,NO CLEAR ENTRY,False,70.75,POSITIVE,5,Here's Why Citizens Financial Group (CFG) is a Strong Value Stock | Centri secures $20m credit facility to support growth plans | Regional Banks Stocks Q1 Recap: Benchmarking Citizens Financial Group (NYSE:CFG),14.66,9.65,,,7.74,25.05,62.21,WATCHLIST
TKO,https://www.tradingview.com/chart/?symbol=TKO,"TKO Group Holdings, Inc.",Communication Services,203.05,15222185984,25.9,63.0,-9.38,10.53,68.77,191.13,195.6,True,True,False,BULLISH TREND,False,53.99,NEUTRAL,5,TKO Group (TKO) Director Buys $988K in Shares | TKO Expands Event Footprint With Arizona Deal And Abu Dhabi Return | TKO Group Stock: Analyst Estimates & Ratings,75.48,43.55,830904512.0,58.229,6.74,4.47,62.02,WATCHLIST
SPGI,https://www.tradingview.com/chart/?symbol=SPGI,S&P Global Inc.,Financial Services,426.35,126199603200,10.4,32.5,-3.78,-1.58,54.15,424.54,476.96,True,False,False,NO CLEAR ENTRY,False,51.0,NEUTRAL,5,"Investor Sentiment Declines, Leading to S&P Global (SPGI) Slide | S&P Global (SPGI) Down 4% Since Last Earnings Report: Can It Rebound? | Does JPMorgan Chase pay dividends? Yield & payout explained",26.93,19.2,5298874880.0,38.392,13.94,30.36,61.98,WATCHLIST
KVUE,https://www.tradingview.com/chart/?symbol=KVUE,Kenvue Inc.,Consumer Defensive,17.595,33782552576,4.5,46.9,-5.73,3.35,56.39,17.24,17.12,True,True,True,BULLISH TREND,False,66.67,POSITIVE,5,Mission Produce Acquires Calavo Growers: What's Ahead for the Stock? | Is Colgate Too Dependent on Pricing Actions for Revenue Growth? | Best Income Stocks to Buy for May 26th,20.95,14.23,1858000000.0,82.975,15.7,10.61,61.98,WATCHLIST
TSLA,https://www.tradingview.com/chart/?symbol=TSLA,"Tesla, Inc.",Consumer Cyclical,437.09,1641589243904,15.8,8.3,8.37,17.25,53.52,391.82,412.13,True,True,False,BULLISH TREND,False,52.4,NEUTRAL,5,"Why a merger with SpaceX could be bad for Tesla shareholders | Why the SpaceX, Tesla merger could hurt Tesla shareholders | How to play the ETF market without touching tech: Chart of the Day",393.77,174.16,5251999744.0,18.738,4.9,3.95,61.94,WATCHLIST
CEG,https://www.tradingview.com/chart/?symbol=CEG,Constellation Energy Corporation,Utilities,287.47,103831306240,63.8,1091.0,-11.88,-3.06,42.2,292.14,322.29,False,False,False,NO CLEAR ENTRY,False,62.07,POSITIVE,5,"GE Vernova vs. Constellation Energy: Which AI Power Stock Wins? | Constellation Energy Corporation (CEG) Is a Trending Stock: Facts to Know Before Betting on It | Stock Market Today, May 27: Micron Extends Rally on AI Chip Momentum, U.S. Markets Inch Higher",24.98,21.15,-4478875136.0,66.428,16.1,12.69,61.82,WATCHLIST
CRM,https://www.tradingview.com/chart/?symbol=CRM,"Salesforce, Inc.",Technology,192.18,157395419136,13.3,52.3,-0.15,6.05,58.96,180.7,220.58,True,False,False,NO CLEAR ENTRY,False,45.98,NEUTRAL,5,"AI server sales push Dell stock to new heights: Earnings takeaways | ServiceNow Soars 14% on Enterprise AI Rotation as Dell’s Blowout Earnings Lift Software Sector | Stock Market Today: Dow Rises 300 Points, Led By Surging IBM, Salesforce; Dell Soars On Earnings (Live Coverage)",22.27,12.41,16552999936.0,124.282,16.91,18.73,61.78,WATCHLIST
PNC,https://www.tradingview.com/chart/?symbol=PNC,"The PNC Financial Services Group, Inc.",Financial Services,220.96,88729722880,13.8,17.7,3.93,1.03,58.74,215.85,204.83,True,True,True,BULLISH TREND,False,49.56,NEUTRAL,5,May 2026 Dividend Stocks To Consider | Three Noteworthy Dividend Stocks To Consider | PNC Financial (PNC) Shares See Higher Valuation from Citi,12.84,10.51,,,12.1,31.31,61.76,WATCHLIST
MPC,https://www.tradingview.com/chart/?symbol=MPC,Marathon Petroleum Corporation,Energy,250.505,73131589632,8.8,,19.85,3.99,55.67,239.51,199.43,True,True,True,BULLISH TREND,False,76.88,POSITIVE,5,Chevron Expands Mediterranean Push With 70% Greek Offshore Stake | 3 Energy Growth Stocks Riding Supply Risks and Strong Demand | What Makes Marathon Petroleum (MPC) a New Strong Buy Stock,16.5,10.63,3518749952.0,146.523,27.46,3.41,61.7,WATCHLIST
KO,https://www.tradingview.com/chart/?symbol=KO,The Coca-Cola Company,Consumer Defensive,79.555,342283976704,12.1,18.2,-0.15,0.87,56.45,77.71,72.37,True,True,True,BULLISH TREND,False,53.48,NEUTRAL,5,"VYM Climbs 26% In a Year While Its Core Dividend Payers Extend Their Streaks | Want $1,400 in Passive Income? Invest $10,000 Into These 4 Dividend Stocks | 5 Warren Buffett Stocks to Hold Forever",25.02,22.84,3124250112.0,124.943,43.37,27.8,61.68,WATCHLIST
AJG,https://www.tradingview.com/chart/?symbol=AJG,Arthur J. Gallagher & Co.,Financial Services,202.61,52059017216,34.6,16.2,-11.36,-4.34,55.42,210.97,248.3,False,False,False,NO CLEAR ENTRY,False,62.81,POSITIVE,5,Assurant's Acquisition Strategy Fuels Growth and Expansion | AJG Strengthens Specialty Insurance via Acquisition of Twin Elms | Arthur J. Gallagher Stock Outlook: Is Wall Street Bullish or Bearish?,32.78,13.64,1080225024.0,56.18,7.01,11.35,61.62,WATCHLIST
RMD,https://www.tradingview.com/chart/?symbol=RMD,ResMed Inc.,Healthcare,196.795,28546371584,10.8,10.5,-23.31,-6.87,37.27,216.15,247.78,False,False,False,NO CLEAR ENTRY,False,56.53,NEUTRAL,5,Do Wall Street Analysts Like ResMed Stock? | 2 Healthcare Stocks to Research Further and 1 We Find Risky | 3 Large-Cap Stocks to Consider Right Now,18.98,16.13,1446655104.0,12.988,25.25,27.44,61.57,WATCHLIST
RF,https://www.tradingview.com/chart/?symbol=RF,Regions Financial Corporation,Financial Services,28.035,23924494336,7.3,21.6,0.23,0.09,54.58,27.26,26.6,True,True,True,BULLISH TREND,False,67.09,POSITIVE,5,"Regions to pay $4.9M for allegedly forgiving ineligible PPP loan | Regions Financial (RF): Buy, Sell, or Hold Post Q1 Earnings? | A Look At Regions Financial (RF) Valuation After Recent Steady Share Price Performance",11.63,9.82,,,11.89,31.0,61.57,WATCHLIST
IBM,https://www.tradingview.com/chart/?symbol=IBM,International Business Machines Corporation,Technology,287.36,270085423104,9.5,14.2,20.93,27.47,80.32,237.79,267.14,True,True,False,WATCH - OVERBOUGHT,False,61.31,POSITIVE,5,"Stock Market Today: Dow Rises 300 Points, Led By Surging IBM, Salesforce; Dell Soars On Earnings (Live Coverage) | Quantum Computing Stocks: Quantinuum IPO Valuation Versus IonQ, D-Wave | Dell, AST SpaceMobile, and More Stocks That Explain the Market Today",25.41,21.36,13080750080.0,211.169,35.77,15.61,61.5,WATCHLIST
ADM,https://www.tradingview.com/chart/?symbol=ADM,Archer-Daniels-Midland Company,Consumer Defensive,80.62,38855335936,1.6,0.9,16.58,9.27,61.61,73.56,64.58,True,True,True,BULLISH TREND,False,51.09,NEUTRAL,5,Are Consumer Staples Stocks Lagging  Archer Daniels Midland (ADM) This Year? | Mission Produce Acquires Calavo Growers: What's Ahead for the Stock? | Buy 5 Non-AI Stocks That Have Surged Year to Date to Tap Market Rally,35.99,15.53,1578499968.0,46.128,4.77,1.34,61.44,WATCHLIST
KIM,https://www.tradingview.com/chart/?symbol=KIM,Kimco Realty Corporation,Real Estate,24.165,16296629248,4.0,29.4,3.71,2.22,61.44,23.34,21.64,True,True,True,BULLISH TREND,False,56.42,NEUTRAL,5,Are You Looking for a High-Growth Dividend Stock? | Realty Income's Occupancy Edge: Can 98.9% Stability Hold? | Kimco Realty Sued by Coffee Drip Over Allegations of Fraudulent Business Practices,27.78,28.02,838712128.0,78.788,5.86,28.54,61.31,WATCHLIST
CASY,https://www.tradingview.com/chart/?symbol=CASY,"Casey's General Stores, Inc.",Consumer Cyclical,757.93,28094140416,0.3,49.8,10.4,-2.95,22.77,782.41,627.76,False,True,True,NO CLEAR ENTRY,False,57.43,NEUTRAL,5,Casey's General Stores (CASY) is a Top-Ranked Growth Stock: Should You Buy? | Buy 5 Non-AI Stocks That Have Surged Year to Date to Tap Market Rally | Casey's Veterans Partnership Adds New Angle To Community And Stock Story,43.53,37.41,467817760.0,75.146,17.88,3.83,61.29,WATCHLIST
TRMB,https://www.tradingview.com/chart/?symbol=TRMB,Trimble Inc.,Technology,55.51,12940019712,11.8,55.6,-18.86,-16.25,27.64,63.22,73.38,False,False,False,NO CLEAR ENTRY,False,57.86,NEUTRAL,5,Farming Has a Tough Row to Hoe. This Analyst Still Likes Corteva and a Tech Provider. | 1 Oversold Stock Set for a Comeback and 2 We Avoid | Assessing Trimble (TRMB) Valuation After Recent Share Price Pullback And Subscription Growth Narrative,29.06,13.64,370112512.0,25.062,8.25,12.38,61.28,WATCHLIST
VLO,https://www.tradingview.com/chart/?symbol=VLO,Valero Energy Corporation,Energy,245.53,72905900032,6.6,,14.79,-1.83,54.16,242.02,191.44,True,True,True,BULLISH TREND,False,69.47,POSITIVE,5,Brokers Suggest Investing in Valero Energy (VLO): Read This Before Placing a Bet | ExxonMobil Seeks Guyana EPA Clearance for Ninth Stabroek Development | Stocks Mixed Awaiting Fresh Iran News,17.93,12.28,4786625024.0,42.664,15.85,3.57,61.26,WATCHLIST
ROP,https://www.tradingview.com/chart/?symbol=ROP,"Roper Technologies, Inc.",Technology,325.515,32850116608,11.3,59.2,-7.79,-8.56,37.76,345.62,417.88,False,False,False,NO CLEAR ENTRY,False,45.27,NEUTRAL,5,Roper Technologies (ROP): 10 Cheap NASDAQ Stocks to Buy Right Now | Roper Technologies Stock: Is Wall Street Bullish or Bearish? | Roche Breast Cancer Data At ASCO 2026 Tests Pipeline Narrative,20.32,13.62,2169925120.0,55.606,9.01,21.12,61.22,WATCHLIST
MS,https://www.tradingview.com/chart/?symbol=MS,Morgan Stanley,Financial Services,207.26,326908051456,16.3,31.9,24.77,11.38,74.68,183.48,169.21,True,True,True,WATCH - OVERBOUGHT,False,51.19,NEUTRAL,5,Why Is Moelis (MC) Up 2.7% Since Last Earnings Report? | MongoDB climbs after first-quarter beat and stronger full-year guidance (MDB) | RealTek sees mixed demand trends as second-half visibility remains limited (RLTQY),18.76,16.32,,502.246,16.39,24.75,61.2,WATCHLIST
TRV,https://www.tradingview.com/chart/?symbol=TRV,"The Travelers Companies, Inc.",Financial Services,293.39,62387826688,1.0,357.6,-5.22,-2.93,42.8,299.28,286.37,False,True,True,NO CLEAR ENTRY,False,63.93,POSITIVE,5,"The Zacks Analyst Blog Highlights Mercury General, Cincinnati Financial and The Travelers Companies | A Look At Travelers Companies (TRV) Valuation As Recent Returns Soften Against Longer Term Gains | 3 Growth Stocks From the P&C Insurance Space to Boost Your Portfolio",8.75,10.28,13304375296.0,28.975,25.27,15.54,61.16,WATCHLIST
INTU,https://www.tradingview.com/chart/?symbol=INTU,Intuit Inc.,Technology,329.75,90149584896,10.4,10.7,-21.11,-16.58,33.79,391.27,548.31,False,False,False,NO CLEAR ENTRY,False,51.29,NEUTRAL,5,"ChatGPT can now see your bank account. Is it worth the risk? | Here’s How Intuit (INTU) is Overcoming the Fears of AI Disruption | Zacks Industry Outlook Highlights Oracle, Intuit and Progress Software",20.1,12.06,5232000000.0,33.448,22.5,21.91,61.15,WATCHLIST
HSY,https://www.tradingview.com/chart/?symbol=HSY,The Hershey Company,Consumer Defensive,195.475,39650811904,10.6,93.6,-16.43,4.13,62.98,195.54,191.23,False,True,True,NO CLEAR ENTRY,False,54.05,NEUTRAL,5,"Hershey Bull Sees World Cup, America 250 Lifting Sales | Hershey's Pricing Power Shines: Can It Offset Cocoa Cost Inflation? | FedEx upgraded, Dollar General downgraded: Wall Street's top analyst calls",36.33,19.7,1527240576.0,120.011,23.23,9.12,60.97,WATCHLIST
AXON,https://www.tradingview.com/chart/?symbol=AXON,"Axon Enterprise, Inc.",Industrials,444.555,35832057856,33.7,89.8,-22.28,10.99,65.21,407.39,565.73,True,False,False,NO CLEAR ENTRY,False,61.71,POSITIVE,5,"Why AppLovin (APP) Stock Is Trading Up Today | Axon Enterprise, Inc (AXON) is Attracting Investor Attention: Here is What You Should Know | Is Axon Enterprise (AXON) Fairly Priced After Recent Public Safety Tech Momentum?",180.71,42.04,62617500.0,52.074,6.77,6.91,60.84,WATCHLIST
NOW,https://www.tradingview.com/chart/?symbol=NOW,"ServiceNow, Inc.",Technology,123.565,127433580544,22.1,2.3,12.93,39.01,78.87,97.62,141.47,True,False,False,WATCH - OVERBOUGHT,False,62.75,POSITIVE,5,"Snowflake stock soars on growing enterprise AI demand, AWS partnership | ServiceNow Soars 14% on Enterprise AI Rotation as Dell’s Blowout Earnings Lift Software Sector | This Week In Cloud AI - Strengthening AI Security with Zero Trust Solutions",73.12,24.58,5108125184.0,20.728,16.07,12.59,60.82,WATCHLIST
ALGN,https://www.tradingview.com/chart/?symbol=ALGN,"Align Technology, Inc.",Healthcare,177.005,12676766720,6.2,23.9,-6.36,-0.78,59.56,174.11,158.1,True,True,True,BULLISH TREND,False,55.11,NEUTRAL,5,"Align Technology (ALGN) Down 1.6% Since Last Earnings Report: Can It Rebound? | Align Technology Highlights New Invisalign Solutions, Financing and Global Growth | Align Technology (ALGN): Record Aligner Shipments and Stifel Stays Bullish at $210",29.75,14.3,538981504.0,2.797,10.82,10.5,60.71,WATCHLIST
SNPS,https://www.tradingview.com/chart/?symbol=SNPS,"Synopsys, Inc.",Technology,478.11,91548180480,41.9,-96.0,12.59,-0.65,34.17,460.89,469.05,True,True,False,BULLISH TREND,False,60.26,POSITIVE,5,Synopsys Samsung AI Chip Design Tie Up Tests Valuation And Growth | Is It Too Late To Consider Synopsys (SNPS) After Recent Valuation Concerns? | Synopsys Was the Worst S&P 500 Stock Thursday Despite Earnings Beat With AI and Merger in Focus,109.41,27.78,3538958592.0,35.574,3.82,8.91,60.57,WATCHLIST
WAB,https://www.tradingview.com/chart/?symbol=WAB,Westinghouse Air Brake Technologies Corporation,Industrials,261.05,44294266880,13.0,12.8,-0.87,-0.0,44.83,259.0,225.62,True,True,True,BULLISH TREND,False,48.2,NEUTRAL,5,Here's Why Investors Should Bet on Wabtec Stock Right Now | Is Westinghouse Air Brake Technologies (WAB) Fairly Priced After Its Recent Share Price Pullback? | 2 Cash-Producing Stocks for Long-Term Investors and 1 We Find Risky,36.87,21.52,1123250048.0,62.03,11.31,10.52,60.51,WATCHLIST
ALL,https://www.tradingview.com/chart/?symbol=ALL,The Allstate Corporation,Financial Services,206.66,53198610432,3.0,338.4,-2.87,-2.67,40.36,212.96,205.77,False,True,True,NO CLEAR ENTRY,False,44.73,NEUTRAL,5,Allstate (ALL) Down 4.6% Since Last Earnings Report: Can It Rebound? | Is Allstate (ALL) the Most Undervalued Stock to Invest In? | Property & Casualty Insurance Stocks Q1 Recap: Benchmarking Allstate (NYSE:ALL),4.57,7.87,12428999680.0,23.719,45.22,17.81,60.38,WATCHLIST
IQV,https://www.tradingview.com/chart/?symbol=IQV,IQVIA Holdings Inc.,Healthcare,182.55,30467596288,8.4,15.0,4.75,16.53,53.97,169.87,195.93,True,False,False,NO CLEAR ENTRY,False,58.74,NEUTRAL,5,Veeva vs. IQVIA: Which Life Sciences Tech Stock Holds More Promise? | Here's Why Investors Must Hold IQV Stock in Their Portfolios for Now | What Makes IQVIA Holdings (IQV) an Investment Bet?,22.65,12.87,2156750080.0,255.426,22.49,8.33,60.25,WATCHLIST
YUM,https://www.tradingview.com/chart/?symbol=YUM,"Yum! Brands, Inc.",Consumer Cyclical,147.65,40695472128,15.2,72.2,-8.93,-7.17,41.5,155.55,151.37,False,False,True,NO CLEAR ENTRY,False,64.21,POSITIVE,5,Why Is Yum (YUM) Down 6% Since Last Earnings Report? | Pizza Hut Classic retro dine-in locations expand to 155 U.S. sites | Is It Too Late To Consider Yum! Brands (YUM) After Recent Share Price Moves?,23.81,19.7,1261500032.0,,,20.48,60.24,WATCHLIST
AMT,https://www.tradingview.com/chart/?symbol=AMT,American Tower Corporation,Real Estate,186.47,86875078656,6.8,76.9,-0.98,4.65,68.09,177.19,180.98,True,True,False,BULLISH TREND,False,49.79,NEUTRAL,5,Why Is VICI Properties (VICI) Down 3% Since Last Earnings Report? | Healthpeak Properties Gains 22.7% Year to Date: Will the Trend Last? | Bernstein Says “This Is the Moment” to Buy American Tower Corporation (AMT),30.08,27.0,4614362624.0,444.55,29.95,26.81,59.93,IGNORE
JBHT,https://www.tradingview.com/chart/?symbol=JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,275.881,26015358976,4.6,27.4,19.1,12.21,72.65,237.38,193.31,True,True,True,WATCH - OVERBOUGHT,False,58.03,NEUTRAL,5,"Landstar (LSTR) Up 8.9% Since Last Earnings Report: Can It Continue? | J.B. Hunt Highlights Intermodal Share Gains, Pricing Upside at Wolfe Conference | Do Wall Street Analysts Like J.B. Hunt Transport Stock?",42.91,30.36,829849984.0,43.622,16.68,5.13,59.89,IGNORE
CBRE,https://www.tradingview.com/chart/?symbol=CBRE,"CBRE Group, Inc.",Real Estate,125.95,36880248832,18.6,98.1,-13.12,-11.62,13.79,139.34,152.94,False,False,False,NO CLEAR ENTRY,False,49.61,NEUTRAL,5,Brandon Steven Motors gains Maryland might with 12-dealership deal | CBRE Group (CBRE) Valuation Check After Recent Share Price Weakness | Chicago’s Old Finance Hub Gets New Life From ‘Google Effect’,28.82,14.22,1094499968.0,113.689,15.6,3.11,59.87,IGNORE
