Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,983.0,1110193471488.0,345.7,1368.5,104.09,-6.52,50.76,952.05,498.2,True,True,True,BUY THE DIP,False,49.56,NEUTRAL,5.0,Why Micron Stock Popped Today | Stock Market Today: Nasdaq Pounded As Oil Surges; Honeywell Crosses Trendline (Live Coverage) | Micron vs. SK Hynix: Which Is the Better Memory Stock to Buy?,22.22,6.39,7639499776.0,6.33,66.64,55.91,93.76,BUY SIGNAL
USB,https://www.tradingview.com/chart/?symbol=USB,U.S. Bancorp,Financial Services,63.33,98651152384.0,10.4,21.6,14.92,6.36,58.05,58.09,53.3,True,True,True,BULLISH TREND,False,60.07,POSITIVE,5.0,"U.S. Bancorp (USB) Q2 2026 Earnings Call Transcript | A U.S. Bancorp Vice Chair Sold $2.3 Million in Stock After a 40% Run — What Should Investors Know? | NTRS Q2 Earnings Beat on Higher NII & AUM Growth, Dividend Raised",12.64,10.95,,,12.62,29.9,67.81,WATCHLIST
WDAY,https://www.tradingview.com/chart/?symbol=WDAY,"Workday, Inc.",Technology,127.87,31580497920.0,13.5,248.0,6.77,11.07,43.04,132.39,168.03,False,False,False,NO CLEAR ENTRY,False,51.52,NEUTRAL,5.0,"Zacks Investment Ideas feature highlights: Salesforce, Atlassian and Workday | Is Workday (WDAY) A Bargain After Downgrades Put Its AI Growth Story Under Scrutiny? | Pegasystems Just Did an IBM, Only Its AI Warning May Be Even Worse",39.96,10.11,3118749952.0,56.936,10.86,8.6,67.77,WATCHLIST
VEEV,https://www.tradingview.com/chart/?symbol=VEEV,Veeva Systems Inc.,Healthcare,179.58,29171566592.0,16.3,14.6,11.45,12.44,34.92,173.31,206.79,True,False,False,NO CLEAR ENTRY,False,60.25,POSITIVE,5.0,"Autodesk initiated, Norwegian Cruise downgrade: Wall Street's top analyst calls | Wall Street Analysts Think Veeva (VEEV) Is a Good Investment: Is It? | Here is What to Know Beyond Why Veeva Systems Inc. (VEEV) is a Trending Stock",31.78,17.9,1259549056.0,1.411,13.93,28.37,67.72,WATCHLIST
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,401.06,134731907072.0,59.0,113.1,-11.69,-14.12,16.4,500.21,526.23,False,False,False,NO CLEAR ENTRY,False,50.0,NEUTRAL,5.0,AppLovin (APP) Falls More Steeply Than Broader Market: What Investors Need to Know | The Bull Case For AppLovin (APP) Could Change Following AI Expansion And Short-Seller Rebuttal – Learn Why | Why AppLovin Stock Fell 24% in the First Half of 2026,34.84,18.5,3180097280.0,162.888,266.44,64.29,67.4,WATCHLIST
FAST,https://www.tradingview.com/chart/?symbol=FAST,Fastenal Company,Industrials,45.47,52176715776.0,14.7,14.6,0.58,-0.29,31.74,45.69,43.95,False,True,True,NO CLEAR ENTRY,False,57.62,NEUTRAL,5.0,Fastenal (FAST) Lifts Third Quarter Dividend As Payout Outlook Improves | Fastenal Company (FAST) Gains from Reshoring Trends and AI Infrastructure Buildout | Your Dividend Calendar for July 27–31: 10 Stocks and the Last Day to Buy Each One,38.86,32.58,916124992.0,10.851,34.33,15.45,67.21,WATCHLIST
DLTR,https://www.tradingview.com/chart/?symbol=DLTR,"Dollar Tree, Inc.",Consumer Defensive,117.99,22666991616.0,7.2,9.5,15.39,4.0,39.83,112.16,112.34,True,True,False,BULLISH TREND,False,53.82,NEUTRAL,5.0,Dollar Tree (DLTR) Plans 75 Store Closures And 400 Openings In 2026 | Dollar Tree price scanners fuel online debate over rising costs | 1 Profitable Stock Worth Investigating and 2 We Avoid,18.93,15.37,1443624960.0,216.518,33.98,6.51,67.11,WATCHLIST
CFG,https://www.tradingview.com/chart/?symbol=CFG,"Citizens Financial Group, Inc.",Financial Services,70.91,29972074496.0,14.7,41.3,9.59,2.78,49.78,66.9,60.34,True,True,True,BULLISH TREND,False,62.34,POSITIVE,5.0,"TCBI Q2 Earnings Beat on NII & Fee Income Growth, Expenses Up Y/Y | Citizens Financial (CFG) Q2 2026 Earnings Call Transcript | Bank OZK Q2 Earnings Beat Estimates on Higher Fee Income, Shares Fall",15.45,10.9,,,8.27,26.05,66.94,WATCHLIST
GRMN,https://www.tradingview.com/chart/?symbol=GRMN,Garmin Ltd.,Technology,241.37,46549700608.0,14.2,21.5,-7.04,2.1,51.42,237.72,227.32,True,True,True,BULLISH TREND,False,68.59,POSITIVE,5.0,Garmin Stock Rises Overnight: Can Its $200 Whoop And Google Fitbit Challenger Get Investors’ Hearts Racing Again? | Garmin Unveils $200 Screenless Tracker as $10 Billion Whoop Faces New Rival | Here's Why Garmin (GRMN) Fell More Than Broader Market,26.91,23.38,810156096.0,2.331,19.9,23.26,66.79,WATCHLIST
PAYX,https://www.tradingview.com/chart/?symbol=PAYX,"Paychex, Inc.",Technology,110.035,39137562624.0,12.5,43.4,22.54,12.29,58.1,101.08,102.26,True,True,False,BULLISH TREND,False,56.02,NEUTRAL,5.0,"A Paychex Chairman Gave Away 9,309 Shares but Keeps Roughly $50 Million | Paychex CFO Sells 12% of His Common Shares With Stock Down 24% This Past Year | Your Dividend Calendar for July 27–31: 10 Stocks and the Last Day to Buy Each One",22.5,17.23,,123.967,,26.63,66.78,WATCHLIST
SNDK,https://www.tradingview.com/chart/?symbol=SNDK,Sandisk Corporation,Technology,1610.33,238473379840.0,251.0,,62.68,-17.99,45.22,1730.9,810.25,False,True,True,NO CLEAR ENTRY,False,64.07,POSITIVE,5.0,'Magnificent 7' stocks erase $797 billion in market value in worst day since April 2025 | Missed NVIDIA? This AI Memory Stock Could Be the Next Big Winner | Magnificent 7 Loses $767 Billion as AI Skeptics Dump Tech Stocks,55.02,7.49,2259500032.0,1.503,39.3,34.19,66.78,WATCHLIST
REG,https://www.tradingview.com/chart/?symbol=REG,Regency Centers Corporation,Real Estate,81.18,15175380992.0,10.0,17.2,2.19,3.19,51.22,78.8,73.75,True,True,True,BULLISH TREND,False,54.02,NEUTRAL,5.0,Earnings Preview: What to Expect From Regency Centers' Report | VNQ’s 18-Year July Streak Makes REITs a Seasonal Standout | Is Holding Regency Centers Stock Still Smart Move for Your Portfolio?,27.9,32.2,574623104.0,73.218,8.0,33.11,66.72,WATCHLIST
WSM,https://www.tradingview.com/chart/?symbol=WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,218.6,25739409408.0,4.4,4.3,15.1,-3.01,40.36,211.37,195.78,True,True,True,BULLISH TREND,False,58.35,NEUTRAL,5.0,Is SGI Stock a Buy Now or a Wait-and-See on Bedding Demand? | Somnigroup Stock Outlook Hinges on Synergies and Demand Recovery | SGI Stock Tracks Bedding Trends in Retail Costs and Global Growth,24.51,21.29,885462144.0,79.878,54.01,13.81,66.72,WATCHLIST
AIG,https://www.tradingview.com/chart/?symbol=AIG,"American International Group, Inc.",Financial Services,78.4,41568165888.0,1.4,21.6,3.39,2.44,46.59,76.41,76.84,True,True,False,BULLISH TREND,False,53.08,NEUTRAL,5.0,"American International's Q2 2026 Earnings: What to Expect | Piper Sandler revamps insurance playbook, upgrades Gallagher, cuts five ratings | How AI Is Becoming MetLife's Long-Term Competitive Advantage",13.8,8.87,9517249536.0,22.647,7.72,11.84,66.7,WATCHLIST
CSX,https://www.tradingview.com/chart/?symbol=CSX,CSX Corporation,Industrials,52.685,97896046592.0,10.1,22.7,14.44,14.14,75.18,47.41,40.66,True,True,True,WATCH - OVERBOUGHT,False,62.3,POSITIVE,5.0,"CSX's Margin Story Likely on Track, UBS Says | Railroad Stocks Rally as More Cargo Moves From Trucks to Trains | Dow Jones Futures Fall As Oil Prices Top $90; Google, Tesla Skid On Earnings, Capital Spending",32.32,23.26,1943500032.0,137.401,24.36,22.21,66.63,WATCHLIST
HPE,https://www.tradingview.com/chart/?symbol=HPE,Hewlett Packard Enterprise Company,Technology,47.76,63243956224.0,40.0,,71.5,-2.37,64.58,44.19,28.62,True,True,True,BULLISH TREND,False,64.2,POSITIVE,5.0,Penguin's ClusterWareAI Expands: Is the Platform Strategy Paying Off? | SMCI vs. HPE: Which AI Infrastructure Stock Has More Upside Now? | Is Dell Technologies (DELL) Undervalued On AI Server Volatility?,44.64,11.94,3836000000.0,84.03,6.31,4.01,66.59,WATCHLIST
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,325.88,55691382784.0,31.5,35.6,-5.96,-7.57,58.6,338.28,264.57,False,True,True,NO CLEAR ENTRY,False,54.59,NEUTRAL,5.0,Does This Dip In Cadence Design Systems Stock Signal An Opening? | Is It Time to Buy the Dip on SNPS Stock at $417? | Keysight Technologies Inc (KEYS) Picks Up a Partner to Address Industry Headache,52.39,27.42,1085750016.0,43.642,18.17,17.31,66.52,WATCHLIST
BIIB,https://www.tradingview.com/chart/?symbol=BIIB,Biogen Inc.,Healthcare,201.595,29762906112.0,1.9,31.1,7.3,2.23,41.23,199.39,181.7,True,True,True,BULLISH TREND,False,47.17,NEUTRAL,5.0,Will PTC Therapeutics (PTCT) Report Negative Earnings Next Week? What You Should Know | Analysts Estimate Biogen Inc. (BIIB) to Report a Decline in Earnings: What to Look Out for | 3 Profitable Stocks We Steer Clear Of,21.7,12.3,1930925056.0,35.181,7.7,13.8,66.42,WATCHLIST
ACGL,https://www.tradingview.com/chart/?symbol=ACGL,Arch Capital Group Ltd.,Financial Services,99.71,34837635072.0,-3.3,94.6,1.67,6.4,42.81,95.44,94.45,True,True,True,BULLISH TREND,False,56.36,NEUTRAL,5.0,Stay Ahead of the Game With Arch Capital (ACGL) Q2 Earnings: Wall Street's Insights on Key Metrics | Arch Capital Group (ACGL) Stock Sinks As Market Gains: What You Should Know | Analysts Estimate Arch Capital Group (ACGL) to Report a Decline in Earnings: What to Look Out for,7.67,10.17,5276125184.0,11.282,21.31,24.64,66.36,WATCHLIST
FCX,https://www.tradingview.com/chart/?symbol=FCX,Freeport-McMoRan Inc.,Basic Materials,63.41,91148476416.0,8.8,153.1,3.38,-1.31,55.69,63.62,56.24,False,True,True,NO CLEAR ENTRY,False,54.98,NEUTRAL,5.0,Freeport-McMoRan shares slip despite second quarter earnings beat as copper outlook softens | FCX's Q2 Earnings and Revenues Top Estimates on Higher Metal Prices | Freeport-McMoRan (FCX) Q2 Earnings: How Key Metrics Compare to Wall Street Estimates,33.55,15.66,1709874944.0,33.008,15.63,10.34,66.3,WATCHLIST
ARES,https://www.tradingview.com/chart/?symbol=ARES,Ares Management Corporation,Financial Services,121.285,40005447680.0,28.3,770.5,6.73,0.42,58.04,122.86,132.36,False,False,False,NO CLEAR ENTRY,False,51.45,NEUTRAL,5.0,BX's Q2 Earnings Beat as AUM Hits Record High Amid Tough Environment | Sector Update: Energy Stocks Rise Premarket Thursday | Crown Estate announces next phase of West End development plans,56.15,16.69,1757137152.0,168.762,14.18,10.54,66.27,WATCHLIST
BRK-B,https://www.tradingview.com/chart/?symbol=BRK-B,Berkshire Hathaway Inc.,Financial Services,488.93,1054550523904.0,4.4,119.6,3.91,-0.79,24.3,488.76,490.11,True,False,False,NO CLEAR ENTRY,False,60.57,POSITIVE,5.0,Pool Q2 Earnings Call Highlights | Greg Abel Makes Bold Portfolio Moves as Berkshire's New Leader -- Dumps Amazon While Buying an Airline Stock | A Sign ‘Quality’ Investing Is Due for a Comeback,14.56,22.73,61228249088.0,17.669,10.5,19.3,66.15,WATCHLIST
UDR,https://www.tradingview.com/chart/?symbol=UDR,"UDR, Inc.",Real Estate,39.48,14627957760.0,4.2,151.6,13.95,3.5,35.96,38.69,36.14,True,True,True,BULLISH TREND,False,57.66,NEUTRAL,5.0,"Ahead of UDR (UDR) Q2 Earnings: Get Ready With Wall Street Estimates for Key Metrics | UDR to Post Q2 Earnings: Is the Stock a Portfolio Must-Have? | Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Datadog, Five Below, Fortinet, Gilead Sciences, Goldman Sachs, Microsoft, Salesforce, and More",26.86,70.5,1007130496.0,142.368,12.35,27.78,66.11,WATCHLIST
JBHT,https://www.tradingview.com/chart/?symbol=JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,288.485,27088740352.0,19.4,45.6,13.92,7.15,51.95,276.47,219.84,True,True,True,BULLISH TREND,False,54.14,NEUTRAL,5.0,Is ArcBest (ARCB) Outperforming Other Transportation Stocks This Year? | J.B. Hunt (JBHT) Q2 2026 Earnings Call Transcript | Are You Looking for a Top Momentum Pick? Why JB Hunt (JBHT) is a Great Choice,40.98,28.52,,39.486,18.45,5.31,66.08,WATCHLIST
PLTR,https://www.tradingview.com/chart/?symbol=PLTR,Palantir Technologies Inc.,Technology,122.61,293934432256.0,84.7,325.0,-13.39,5.06,40.98,131.86,154.57,False,False,False,NO CLEAR ENTRY,False,61.79,POSITIVE,5.0,Palantir vs. Lockheed Martin: Which Defense Stock Wins the Next 5 Years? | Palantir Commercial Business Gets Citi Boost | How Palantir is Turning AI Into Mission-Critical Infrastructure,139.33,58.54,1752997120.0,2.477,32.59,43.67,65.84,WATCHLIST
JCI,https://www.tradingview.com/chart/?symbol=JCI,Johnson Controls International plc,Industrials,143.64,87637000192.0,8.2,38.9,1.63,1.67,57.35,141.74,129.14,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5.0,Beyond The GPU: What Could Drive NVIDIA Stock Higher From Here? | Analysts Estimate UFP Industries (UFPI) to Report a Decline in Earnings: What to Look Out for | Rollins is Set to Report Q2 Earnings: Here's What You Should Know,44.06,24.92,2870374912.0,70.317,13.45,14.45,65.7,WATCHLIST
PCG,https://www.tradingview.com/chart/?symbol=PCG,PG&E Corporation,Utilities,17.615,38792187904.0,15.0,39.8,4.97,5.34,60.41,16.82,16.58,True,True,True,BULLISH TREND,False,60.07,POSITIVE,5.0,"PG&E Q2 Earnings Surpass Estimates, Revenues Increase Y/Y | PG&E tops earnings estimates while revenue falls short in second quarter (NYSE:PCG) | PG&E (PCG) Beats Q2 Earnings Estimates",13.66,9.77,-5572125184.0,187.872,8.83,11.01,65.66,WATCHLIST
BALL,https://www.tradingview.com/chart/?symbol=BALL,Ball Corporation,Consumer Cyclical,62.2025,16561198080.0,16.3,21.9,-1.09,2.83,44.04,58.36,56.44,True,True,True,BULLISH TREND,False,62.89,POSITIVE,5.0,"Packaging Corp Q2 Earnings Beat Estimates on Record Shipments | CCK Q2 Earnings Beat on Strong Beverage Can Volumes, '26 View Raised | Zacks.com featured highlights include NVIDIA, Neurocrine Biosciences and Ball",18.13,13.77,403500000.0,145.542,16.79,6.86,65.53,WATCHLIST
MS,https://www.tradingview.com/chart/?symbol=MS,Morgan Stanley,Financial Services,214.925,337862098944.0,28.0,62.4,14.54,-4.91,50.92,212.2,181.62,True,True,True,BULLISH TREND,False,46.85,NEUTRAL,5.0,"Morgan Stanley sees AI data center pivot unlocking upside for bitcoin miners | Morgan Stanley doubles down on Schwab after earnings | COIN Stock Slips Alongside Crypto Equities After Citi Cuts Price Target – Morgan Stanley Backs RIOT, HUT",17.35,15.84,,502.246,,25.9,65.45,WATCHLIST
PSA,https://www.tradingview.com/chart/?symbol=PSA,Public Storage,Real Estate,315.11,55326900224.0,3.2,32.8,3.16,-1.92,37.75,312.67,288.45,True,True,True,BULLISH TREND,False,62.35,POSITIVE,5.0,"Public Storage Closes NSA Deal: What to Expect From Q2 Results? | Public Storage Completes Acquisition of National Storage Affiliates Trust | Barclays upgrades CubeSmart, cuts Public Storage on relative valuation",32.52,29.84,2338522624.0,107.646,20.18,39.06,65.44,WATCHLIST
KMI,https://www.tradingview.com/chart/?symbol=KMI,"Kinder Morgan, Inc.",Energy,32.665,72673935360.0,10.8,21.8,3.9,0.38,58.3,32.29,30.0,True,True,True,BULLISH TREND,False,74.96,POSITIVE,5.0,KMI Q2 Earnings Beat Estimates on Natural Gas Pipeline Strength | KMI Q2 Earnings Call Flags Bigger Gas Growth Pipeline | High-Yield and High-Growth? This Energy Stock Backs Its 3.7%-Yielding Dividend With Booming AI-Driven Gas Demand.,21.92,21.62,,98.081,10.99,19.3,65.25,WATCHLIST
NUE,https://www.tradingview.com/chart/?symbol=NUE,Nucor Corporation,Basic Materials,240.755,54829772800.0,21.3,382.1,13.33,0.72,72.52,239.09,186.87,True,True,True,WATCH - OVERBOUGHT,False,46.78,NEUTRAL,5.0,"NUE vs. STLD: Which US Steel Giant Deserves a Spot in Your Portfolio? | Cleveland-Cliffs (CLF) Reports Q2 Loss, Tops Revenue Estimates | Algoma Steel Group Inc. (ASTL) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release",23.91,13.85,-384100000.0,31.595,12.29,6.82,65.24,WATCHLIST
BXP,https://www.tradingview.com/chart/?symbol=BXP,"BXP, Inc.",Real Estate,67.885,12104671232.0,0.6,65.5,20.35,6.62,44.24,64.0,62.63,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5.0,What's Behind Accenture's Nine-Billion-Dollar Bet on Its Stock? | Is Extra Space Storage Stock a Good Bet Ahead of Q2 Earnings? | BXP to Post Q2 Earnings: Is the Stock a Portfolio Must-Have?,34.11,32.45,941118656.0,211.994,5.53,10.04,65.2,WATCHLIST
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1028.915,274094555136.0,16.3,1816.5,-10.45,-0.59,40.06,1033.95,825.23,False,True,True,NO CLEAR ENTRY,False,57.84,NEUTRAL,5.0,"Earnings live: Google stock drops on capex concerns, ServiceNow pops | Data Centers Turbocharge Jet Engine Maker In A Battle For Power | GE Vernova's Q2 Results Highlight Strong Demand, Support Upside Ahead, RBC Says",29.51,41.65,9315624960.0,24.925,75.71,23.81,65.03,WATCHLIST
HUBB,https://www.tradingview.com/chart/?symbol=HUBB,Hubbell Incorporated,Industrials,483.745,25561944064.0,11.1,12.5,-13.02,-5.14,48.13,487.22,476.94,False,True,True,BUY THE DIP,False,51.53,NEUTRAL,5.0,Hubbell (HUBB) Earnings Expected to Grow: What to Know Ahead of Next Week's Release | Reflecting On Electrical Systems Stocks’ Q1 Earnings: Hubbell (NYSE:HUBB) | Dover Gears Up to Report Q2 Earnings: What to Expect From the Stock?,28.57,21.59,541449984.0,72.468,25.82,15.1,64.92,WATCHLIST
EA,https://www.tradingview.com/chart/?symbol=EA,Electronic Arts Inc.,Communication Services,209.005,52408315904.0,11.9,85.3,3.3,2.7,81.65,203.9,202.21,True,True,True,WATCH - OVERBOUGHT,False,63.45,POSITIVE,5.0,"Saudi PIF's $55 billion EA deal approved under EU merger rules | An Electronic Arts President Sold 2,500 Shares. Here's What That Means for Investors. | What Does the Electronic Arts CEO's Sale of Company Shares Worth $1 Million Mean for Investors?",59.55,21.71,2219124992.0,27.41,13.49,11.78,64.83,WATCHLIST
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,304.04,116784439296.0,30.1,135.7,-5.98,-4.49,51.65,317.85,243.56,False,True,True,NO CLEAR ENTRY,False,64.54,POSITIVE,5.0,3 Reasons Why Growth Investors Shouldn't Overlook Vertiv (VRT) | Applied Digital Set to Report Q4 Earnings: Hold or Fold the Stock? | Revenue Growth & Margin Expansion Aid GEV's Q2: More Upside Ahead?,76.39,34.44,1964749952.0,76.913,45.1,14.37,64.81,WATCHLIST
KEY,https://www.tradingview.com/chart/?symbol=KEY,KeyCorp,Financial Services,22.72,24356634624.0,10.1,25.3,4.25,-1.3,46.51,22.3,20.38,True,True,True,BULLISH TREND,False,57.1,NEUTRAL,5.0,KeyCorp (KEY) Q2 2026 Earnings Call Highlights: Strong EPS Growth and Strategic Acquisitions ... | KeyCorp Q2 2026 Earnings Call Summary | KeyCorp Q2 Earnings Call Highlights,13.29,10.6,,,10.33,27.54,64.77,WATCHLIST
RVTY,https://www.tradingview.com/chart/?symbol=RVTY,"Revvity, Inc.",Healthcare,113.17,12625219584.0,7.0,3.5,30.51,13.35,48.84,104.1,98.18,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5.0,Revvity to Launch Signals for Startups for Emerging Biotech Companies | Alamar Hits A High Note On Alzheimer's Buzz | Should Revvity’s (RVTY) Claude Integration Reframe How Investors View Its Data and AI Strategy?,54.41,19.41,508969248.0,46.642,3.23,8.26,64.7,WATCHLIST
ICE,https://www.tradingview.com/chart/?symbol=ICE,"Intercontinental Exchange, Inc.",Financial Services,143.02,80879599616.0,20.4,79.7,-8.84,7.53,70.65,140.4,154.05,True,False,False,WATCH - OVERBOUGHT,False,64.25,POSITIVE,5.0,NDAQ Q2 Earnings Beat Estimates on Index and FinTech Growth | IntercontinentalExchange (ICE) Earnings Expected to Grow: What to Know Ahead of Next Week's Release | Former NY Gov. Andrew Cuomo: Crypto's Real Value Goes Far Beyond 'Tokens And Memes',20.82,16.4,3743124992.0,70.986,13.85,37.67,64.59,WATCHLIST
KMB,https://www.tradingview.com/chart/?symbol=KMB,Kimberly-Clark Corporation,Consumer Defensive,106.9252,35492790272.0,2.7,17.9,10.69,2.86,33.1,103.14,101.78,True,True,True,BULLISH TREND,False,58.39,NEUTRAL,5.0,What to Expect From Kimberly-Clark's Next Quarterly Earnings Report | Kimberly Clark (KMB) Rebound Puts Its Margin Story And Valuation Back In Focus | CLX Paid Holders $3.8 billion While The Stock Went Nowhere,20.68,14.15,1054625024.0,371.264,111.73,12.8,64.57,WATCHLIST
KIM,https://www.tradingview.com/chart/?symbol=KIM,Kimco Realty Corporation,Real Estate,25.865,17443090432.0,4.0,29.4,9.68,2.68,59.22,24.69,22.14,True,True,True,BULLISH TREND,False,60.06,POSITIVE,5.0,Why Kimco Realty (KIM) is a Top Dividend Stock for Your Portfolio | Kimco Realty’s Quarterly Earnings Preview: What You Need to Know | Does Kimco’s Defensive Index Upgrade and Analyst Support Reshape The Bull Case For Kimco Realty (KIM)?,29.73,29.87,838712128.0,78.788,5.86,28.54,64.4,WATCHLIST
ES,https://www.tradingview.com/chart/?symbol=ES,Eversource Energy,Utilities,74.23,27916421120.0,9.4,7.4,9.22,4.51,49.02,70.95,69.14,True,True,True,BULLISH TREND,False,58.65,NEUTRAL,5.0,Earnings Preview: Eversource Energy (ES) Q2 Earnings Expected to Decline | AI Power Demand Continues to Surge: 5 Highest Yielding Utility Stocks You Can Hold for Decades | Eversource Energy (ES) Stock Looks Undervalued Even As The Market Stays Cautious,15.9,15.14,587291392.0,181.822,10.91,12.55,64.39,WATCHLIST
BSX,https://www.tradingview.com/chart/?symbol=BSX,Boston Scientific Corporation,Healthcare,43.1,64061906944.0,11.6,100.0,-34.39,-5.5,37.24,47.63,74.68,False,False,False,NO CLEAR ENTRY,False,53.4,NEUTRAL,5.0,Boston Scientific (BSX) Enrolls First Patients In Global Faraflex AFib Trial | Boston Scientific (BSX) Stock Still Looks Undervalued Following Its 58% Slump | Boston Scientific (BSX) Recalls Put Focus On Whether The Stock Still Looks Undervalued,18.03,11.61,2807124992.0,42.25,14.66,17.29,64.37,WATCHLIST
ADSK,https://www.tradingview.com/chart/?symbol=ADSK,"Autodesk, Inc.",Technology,203.7,43010285568.0,18.4,231.4,-12.19,7.9,46.33,216.59,256.25,False,False,False,NO CLEAR ENTRY,False,64.79,POSITIVE,5.0,"Autodesk initiated, Norwegian Cruise downgrade: Wall Street's top analyst calls | Here Are Thursday’s Top Wall Street Analyst Research Calls: AT&T, Applied Digital, Autodesk, Duke Energy, Exxon Mobil, JPMorgan Chase & Company, Live Nation Entertainment, and More | The One Big Bet That Could Reignite Adobe Stock",29.69,14.29,3060999936.0,85.419,50.4,19.49,64.33,WATCHLIST
MSFT,https://www.tradingview.com/chart/?symbol=MSFT,Microsoft Corporation,Technology,381.89,2836845035520.0,18.3,23.4,-7.95,2.12,44.43,399.58,435.43,False,False,False,NO CLEAR ENTRY,False,49.9,NEUTRAL,5.0,"Google, Amazon, Meta, & Microsoft will spend 'unprecedented' $1T on AI capex in 2027: Analyst | IBM may be caught up in latest bout of AI volatility: 'Don't concentrate in any one theme' | Alphabet Just Tied Amazon’s $200 Billion Capex Guidance. Could Amazon Raise the Bar Even Higher on July 30?",22.76,19.71,37011251200.0,30.271,34.01,39.34,64.19,WATCHLIST
QCOM,https://www.tradingview.com/chart/?symbol=QCOM,QUALCOMM Incorporated,Technology,171.11,180349943808.0,-3.5,173.0,15.38,-16.18,45.31,203.64,167.93,False,True,True,NO CLEAR ENTRY,False,61.52,POSITIVE,5.0,Marvell Technology Stock And The Forecast It Kept Outgrowing | Qualcomm (QCOM) Stock Gets Fair Value Boost After Investor Day Reset | Which Stocks Are Getting Hit Hardest on the Nasdaq Today?,18.38,15.59,9589624832.0,55.979,36.08,22.31,64.17,WATCHLIST
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,391.145,1860903632896.0,47.9,85.4,-6.71,2.89,61.87,399.71,363.58,False,True,True,NO CLEAR ENTRY,False,56.2,NEUTRAL,5.0,Billionaire Investor Philippe Laffont’s Top 5 Tech Picks | Nvidia Stock: Buy Right Now or Wait for a Better Opportunity? | 4 Networking Semiconductor Stocks to Watch in August 2026,65.3,20.1,27212249088.0,74.018,37.28,38.85,64.15,WATCHLIST
O,https://www.tradingview.com/chart/?symbol=O,Realty Income Corporation,Real Estate,64.73,60360245248.0,12.0,17.9,2.34,5.65,55.7,62.11,60.0,True,True,True,BULLISH TREND,False,55.84,NEUTRAL,5.0,Realty Income's Data Center Bet Could Turbocharge Dividend Growth Over the Next Decade | The Set It and Forget It Monthly Dividend Stocks Retirees Wish They’d Bought 20 Years Ago | The Super-High-Yield Retirement Stocks That Turn a Nest Egg Into a Monthly Paycheck,53.06,37.92,1797902592.0,73.467,2.83,18.9,64.12,WATCHLIST
VLTO,https://www.tradingview.com/chart/?symbol=VLTO,Veralto Corporation,Industrials,91.5,22472333312.0,6.8,13.3,3.4,8.32,46.17,87.3,93.8,True,False,False,NO CLEAR ENTRY,False,55.98,NEUTRAL,5.0,Is Veralto (VLTO) Below Fair Value After Its Water Deal? | Analysts Estimate GFL Environmental Inc. (GFL) to Report a Decline in Earnings: What to Look Out for | Veralto (VLTO) Buys Alfaa UV To Grow Its Water Treatment Reach In India,23.58,19.6,768249984.0,95.542,36.46,17.32,64.03,WATCHLIST
GPN,https://www.tradingview.com/chart/?symbol=GPN,Global Payments Inc.,Industrials,77.73,21262538752.0,63.1,,14.98,20.92,48.35,71.55,74.06,True,True,False,BULLISH TREND,False,50.26,NEUTRAL,5.0,V Stock: Where Compounding Could Take The Price | Global Payments (GPN) Could Be 11% Undervalued On Morgan Stanley Upgrade | Does Morgan Stanley’s GPN Upgrade Reveal a Deeper Shift in Global Payments’ Core Platform Narrative?,29.0,4.81,7124387840.0,95.593,2.94,-7.97,64.02,WATCHLIST
MDLZ,https://www.tradingview.com/chart/?symbol=MDLZ,"Mondelez International, Inc.",Consumer Defensive,59.795,76755836928.0,8.2,41.3,4.48,-1.25,45.94,60.56,57.72,False,True,True,NO CLEAR ENTRY,False,53.4,NEUTRAL,5.0,Unlocking Q2 Potential of Mondelez (MDLZ): Exploring Wall Street Estimates for Key Metrics | Mondelēz shows uneven gains on 2025 sustainable sourcing goals | Mondelez Q2 Earnings Coming Up: Here's What You Should Know,29.6,17.74,2847500032.0,83.793,10.16,6.64,63.92,WATCHLIST
