Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1048.61,281782484992,16.3,1816.5,20.11,-6.39,39.0,996.07,744.54,True,True,True,HIGH CONVICTION DIP BUY,True,62.03,POSITIVE,5,"GE Vernova Turbine Milestone Raises Questions On Cash Flows And Dividends | Dow Jones Futures Rise After S&P 500, Nasdaq Hit Highs; 5 AI Stocks In Buy Areas | Why GE Vernova Stock Triumphed on Tuesday",30.61,42.78,9315624960.0,24.925,75.71,23.81,90.66,BUY SIGNAL
IVZ,https://www.tradingview.com/chart/?symbol=IVZ,Invesco Ltd.,Financial Services,27.51,12195090432,14.1,35.0,5.58,8.81,53.27,25.2,24.4,True,True,True,BULLISH TREND,False,54.26,NEUTRAL,5,Should Invesco S&P MidCap Value with Momentum ETF (XMVM) Be on Your Investing Radar? | Should Invesco S&P 500 Equal Weight ETF (RSP) Be on Your Investing Radar? | Should Invesco S&P 500 Pure Growth ETF (RPG) Be on Your Investing Radar?,,9.26,861862528.0,14.829,-1.54,-3.69,67.14,WATCHLIST
MO,https://www.tradingview.com/chart/?symbol=MO,"Altria Group, Inc.",Consumer Defensive,72.43,120950218752,5.3,106.3,6.67,9.74,60.5,68.07,62.82,True,True,True,BULLISH TREND,False,52.05,NEUTRAL,5,3 Dividend Stocks Yielding Above 5% to Scoop Up Now | SPHD’s High Dividend Low Volatility Promise Has Returned Just 6 Percent Annualized While the S&P 500 Doubled It | Altria (MO) Upgraded to Buy: What Does It Mean for the Stock?,15.12,12.33,8542875136.0,,,39.52,67.06,WATCHLIST
URI,https://www.tradingview.com/chart/?symbol=URI,"United Rentals, Inc.",Industrials,983.6,61619150848,7.2,6.6,17.34,2.69,54.98,847.21,871.11,True,True,False,BULLISH TREND,False,70.72,POSITIVE,5,"Is Wall Street Bullish or Bearish on United Rentals Stock? | 4 Mega-Cap Stocks Positioned for a Potential Split | Will AutoZone, Grainger, or United Rentals Be the Next Big Stock Split?",25.16,18.27,1870625024.0,167.473,28.24,15.32,67.01,WATCHLIST
CFG,https://www.tradingview.com/chart/?symbol=CFG,"Citizens Financial Group, Inc.",Financial Services,63.09,26679621632,13.8,46.8,5.57,-1.91,36.97,62.0,56.81,True,True,True,BULLISH TREND,False,70.15,POSITIVE,5,Centri secures $20m credit facility to support growth plans | Regional Banks Stocks Q1 Recap: Benchmarking Citizens Financial Group (NYSE:CFG) | WFC's Efficiency Story: Will Cost Cuts Lift ROTCE to Its Target Level?,14.95,9.84,,,7.74,25.05,66.96,WATCHLIST
EA,https://www.tradingview.com/chart/?symbol=EA,Electronic Arts Inc.,Communication Services,201.225,50457468928,11.9,85.3,0.33,-0.61,55.34,202.03,196.71,False,True,True,NO CLEAR ENTRY,False,58.62,NEUTRAL,5,Do Options Traders Know Something About Investors in Electronic Arts Stock We Don't? | 2 S&P 500 Stocks with Promising Prospects and 1 We Ignore | Is Wall Street Bullish or Bearish on Electronic Arts Stock?,57.17,20.62,2219124992.0,27.41,13.49,11.78,66.84,WATCHLIST
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,207.84,60667625472,14.5,7150.0,-9.34,-0.42,42.38,211.67,219.67,False,False,False,NO CLEAR ENTRY,False,61.83,POSITIVE,5,The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth | Why Is TE Connectivity (TEL) Down 7% Since Last Earnings Report? | Do Wall Street Analysts Like TE Connectivity Stock?,21.25,16.45,2322249984.0,43.798,22.72,15.54,66.8,WATCHLIST
AVB,https://www.tradingview.com/chart/?symbol=AVB,"AvalonBay Communities, Inc.",Real Estate,187.06,26538588160,2.5,40.3,6.72,7.33,51.25,174.69,177.98,True,True,False,BULLISH TREND,False,67.15,POSITIVE,5,"Equity Residential-AvalonBay Communities Merger Set to Boost Cost Savings, Tech Gains, BofA Says | Equity Residential (EQR): The Best Residential REIT to Buy in 2026 | AvalonBay (AVB) and Equity Residential Near Merger Agreement",23.18,38.4,1392035584.0,81.307,9.72,37.27,66.77,WATCHLIST
MKC,https://www.tradingview.com/chart/?symbol=MKC,"McCormick & Company, Incorporated",Consumer Defensive,47.904,12878664704,16.7,528.3,-31.97,-4.95,46.89,50.32,61.9,False,False,False,NO CLEAR ENTRY,False,49.55,NEUTRAL,5,Why The McCormick (MKC) Investment Story Is Being Reset After Analyst Cuts And Deal News | Campbell Soup stock hasn't been this low in over 30 years | Inside Unilever’s Plan to Go All-in on Beauty and Health,7.85,14.31,372775008.0,65.158,25.35,23.12,66.76,WATCHLIST
APA,https://www.tradingview.com/chart/?symbol=APA,APA Corporation,Energy,37.165,13136721920,-11.9,32.2,23.19,-3.29,45.63,38.98,28.24,False,True,True,NO CLEAR ENTRY,False,71.81,POSITIVE,5,Stocks Finish Mostly Higher on Iran Peace Progress | S&P 500 and Nasdaq 100 Climb to Record Highs on Tech Stock Strength | Petrobras or APA: Which Oil Stock Offers Better Risk Reward?,8.66,8.8,1691250048.0,61.314,26.22,18.31,66.44,WATCHLIST
REG,https://www.tradingview.com/chart/?symbol=REG,Regency Centers Corporation,Real Estate,78.95,14758515712,10.0,17.2,0.91,-1.25,49.04,77.8,72.46,True,True,True,BULLISH TREND,False,50.47,NEUTRAL,5,"Assessing Regency Centers (REG) Valuation After Recent Steady Performance And Modest Undervaluation Estimate | Federal Realty vs. Regency Centers: Which Retail REIT to Buy Now? | For Now at Least, Retail Property Owners Remain on Steady Ground Despite Global Economic and Political Turmoil",27.13,31.33,574623104.0,73.218,8.0,33.11,66.44,WATCHLIST
HLT,https://www.tradingview.com/chart/?symbol=HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,334.895,76238299136,11.0,35.0,7.46,0.78,64.97,316.77,290.81,True,True,True,BULLISH TREND,False,53.61,NEUTRAL,5,"How to Invest Now If You Want to Profit from the 2026 World Cup | 3 Reasons HLT is Risky and 1 Stock to Buy Instead | Landmark Investment Partners Cuts Howard Hughes Holdings Stake, According to Recent SEC Filing",51.21,32.15,1684499968.0,,,30.41,66.24,WATCHLIST
HSY,https://www.tradingview.com/chart/?symbol=HSY,The Hershey Company,Consumer Defensive,198.5,40264409088,10.6,93.6,-15.34,7.26,65.98,196.25,190.98,True,True,True,BULLISH TREND,False,59.64,NEUTRAL,5,"FedEx upgraded, Dollar General downgraded: Wall Street's top analyst calls | Here Are Wednesday’s Top Wall Street Analyst Research Calls: Agilent, Dollar General, FedEx, GE Aerospace, Hershey, Intuit, SanDisk, Workday, Zscaler, and More | Nutella maker Ferrero may take ‘a breather’ in large-scale M&A in the US",36.96,20.04,1527240576.0,120.011,23.23,9.12,66.22,WATCHLIST
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,89.54,87570849792,26.9,28.9,4.97,16.5,78.56,78.11,73.99,True,True,True,WATCH - OVERBOUGHT,False,51.56,NEUTRAL,5,"2 Cash-Producing Stocks to Keep an Eye On and 1 Facing Headwinds | Dow Jones Leader Amazon, AI Stock Quanta, Monster Beverage In Or Near Buy Zones | Zacks Industry Outlook Highlights Coca-Cola, PepsiCo, Monster Beverage, Fomento Economico Mexicano and Vita Coco",43.26,34.65,1684340480.0,1.082,26.65,23.11,66.22,WATCHLIST
TRV,https://www.tradingview.com/chart/?symbol=TRV,"The Travelers Companies, Inc.",Financial Services,301.59,64131510272,1.0,357.6,-1.93,-0.71,50.0,299.67,286.05,True,True,True,BULLISH TREND,False,64.94,POSITIVE,5,"3 Growth Stocks From the P&C Insurance Space to Boost Your Portfolio | Intel downgraded, Marvell upgraded: Wall Street's top analyst calls | Here Are Tuesday’s Top Wall Street Analyst Research Calls: Albemarle, Booz Allen Hamilton, Cigna, DT Midstream, GE Vernova, Intel, Okta, Travelers, Occidental Petroleum, and More",9.0,10.56,13304375296.0,28.975,25.27,15.54,66.05,WATCHLIST
BIIB,https://www.tradingview.com/chart/?symbol=BIIB,Biogen Inc.,Healthcare,198.42,29294157824,1.9,31.1,3.44,9.82,58.46,186.25,169.88,True,True,True,BULLISH TREND,False,42.28,NEUTRAL,5,"Ionis Pharmaceuticals Eyes Big Year With TRYNGOLZA Decision, 5 Phase 3 Readouts | MarketBeat Week in Review – 05/18 - 05/22 | Biogen Faces Trial Setbacks And Probes That Reframe Neuro Pipeline Risks",21.31,11.96,1915987456.0,35.181,7.7,13.8,66.03,WATCHLIST
ICE,https://www.tradingview.com/chart/?symbol=ICE,"Intercontinental Exchange, Inc.",Financial Services,148.49,83972956160,20.4,79.7,-9.24,-5.39,39.04,157.71,161.5,False,False,False,NO CLEAR ENTRY,False,51.03,NEUTRAL,5,A Look At Intercontinental Exchange (ICE) Valuation As It Expands ETF Hub And Launches New Futures Products | Sector Update: Financial Stocks Mixed Late Afternoon | Sector Update: Financial Stocks Mixed Tuesday Afternoon,21.61,16.9,3743124992.0,70.986,13.85,37.67,65.93,WATCHLIST
C,https://www.tradingview.com/chart/?symbol=C,Citigroup Inc.,Financial Services,124.52,212378435584,15.9,56.1,13.54,-3.13,43.39,122.1,109.13,True,True,True,BULLISH TREND,False,48.93,NEUTRAL,5,Warner Bros. Set to Price $15 Billion Loan Deal Amid High Demand | Citi Head of Macro Strategy Dirk Willer Talks Positioning as Fed Mulls Rake Hike | Ellison Privately Vows to Limit Enlarged Paramount’s Debt,15.39,9.94,,,7.65,20.36,65.86,WATCHLIST
HUBB,https://www.tradingview.com/chart/?symbol=HUBB,Hubbell Incorporated,Industrials,485.495,25654417408,11.1,12.5,-5.11,-12.58,37.88,504.97,466.37,False,True,True,BUY THE DIP,False,63.17,POSITIVE,5,"2 Cash-Producing Stocks on Our Buy List and 1 We Question | Do Wall Street Analysts Like Hubbell Incorporated Stock? | Hubbell Incorporated (NYSE:HUBB) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",28.69,22.29,541449984.0,72.468,25.82,15.1,65.85,WATCHLIST
LVS,https://www.tradingview.com/chart/?symbol=LVS,Las Vegas Sands Corp.,Consumer Cyclical,50.645,33559267328,25.3,73.0,-10.19,-6.48,31.98,53.1,56.56,False,False,False,NO CLEAR ENTRY,False,57.88,NEUTRAL,5,Is Las Vegas Sands (LVS) One of the Cheap NYSE Stocks to Buy According to Analysts? | Why Is Las Vegas Sands (LVS) Down 4.8% Since Last Earnings Report? | Why Investors Need to Take Advantage of These 2 Consumer Discretionary Stocks Now,18.69,13.76,1622625024.0,981.405,90.45,13.41,65.73,WATCHLIST
DOC,https://www.tradingview.com/chart/?symbol=DOC,"Healthpeak Properties, Inc.",Real Estate,19.995,13784947712,7.1,363.9,15.05,24.08,65.07,17.47,17.06,True,True,True,BULLISH TREND,False,60.62,POSITIVE,5,Healthpeak Properties Gains 22.7% Year to Date: Will the Trend Last? | SPHD’s High Dividend Low Volatility Promise Has Returned Just 6 Percent Annualized While the S&P 500 Doubled It | A Look At Healthpeak Properties (DOC) Valuation After Strong Recent Share Price Momentum,62.48,148.11,1109761536.0,118.243,2.8,7.73,65.7,WATCHLIST
GS,https://www.tradingview.com/chart/?symbol=GS,"The Goldman Sachs Group, Inc.",Financial Services,992.785,292878942208,14.5,24.2,16.11,5.86,66.62,904.28,846.43,True,True,True,BULLISH TREND,False,59.77,NEUTRAL,5,"Best CD rates today, Wednesday, May 27, 2026: Earn up to 4% APY | AI Coding Startup Cognition Raises $1 Billion at $26 Billion Value | Yardeni Says US Stocks Driven by Earnings Momentum, Not a Bubble",18.12,15.18,,678.596,14.55,29.36,65.68,WATCHLIST
PLTR,https://www.tradingview.com/chart/?symbol=PLTR,Palantir Technologies Inc.,Technology,133.6201,320329089024,84.7,325.0,-2.6,-6.62,49.63,141.97,162.14,False,False,False,NO CLEAR ENTRY,False,58.93,NEUTRAL,5,An Upcoming IPO Could Soon Surpass NVIDIA As The World’s Most Valuable Company (It’s Not SpaceX) | Salesforce Hopes to Change the Conversation Ahead of Earnings | High Growth US Tech Stocks To Watch In May 2026,150.13,64.42,1752997120.0,2.477,32.59,43.67,65.61,WATCHLIST
EQIX,https://www.tradingview.com/chart/?symbol=EQIX,"Equinix, Inc.",Real Estate,1072.885,105812475904,12.1,20.0,10.67,-1.07,46.33,1041.04,861.99,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,Oklo Moves One Step Closer to Commercialization | Core Scientific appoints former Equinix CEO Steve Smith to board as AI infrastructure pivot accelerates | Deutsche Bank Raises its Price Target on Equinix (EQIX),74.3,55.81,2725125120.0,162.961,10.06,14.93,65.6,WATCHLIST
CNC,https://www.tradingview.com/chart/?symbol=CNC,Centene Corporation,Healthcare,58.37,28822929408,5.1,18.3,30.06,34.18,62.14,44.76,39.33,True,True,True,BULLISH TREND,False,72.42,POSITIVE,5,Is Molina Healthcare Worth Buying at a Premium 26.83X P/E Valuation? | Stocks Finish Mostly Higher on Iran Peace Progress | S&P 500 and Nasdaq 100 Climb to Record Highs on Tech Stock Strength,,13.1,6847499776.0,76.049,-26.04,-3.61,65.54,WATCHLIST
ORCL,https://www.tradingview.com/chart/?symbol=ORCL,Oracle Corporation,Technology,189.27,544349257728,21.7,24.5,30.63,9.43,45.18,168.47,206.34,True,False,False,NO CLEAR ENTRY,False,49.12,NEUTRAL,5,"Billionaire Phillipe Laffont Recently Sold Oracle, Tesla, and Nvidia and Purchased a Stock Down 94% Since Its IPO in 2020 | Ellison Privately Vows to Limit Enlarged Paramount’s Debt | Is Trending Stock Oracle Corporation (ORCL) a Buy Now?",33.92,23.56,-22298499072.0,415.265,57.57,25.3,65.43,WATCHLIST
KEY,https://www.tradingview.com/chart/?symbol=KEY,KeyCorp,Financial Services,21.545,23359641600,11.8,33.3,4.91,-1.67,38.97,21.08,19.69,True,True,True,BULLISH TREND,False,50.95,NEUTRAL,5,1 Stock Under $50 on Our Buy List and 2 We Ignore | How The Investment Narrative For KeyCorp (KEY) Is Shifting With New Targets And Assumptions | 3 Bank Stocks with Warning Signs,13.22,9.99,,,9.98,27.02,65.43,WATCHLIST
CSX,https://www.tradingview.com/chart/?symbol=CSX,CSX Corporation,Industrials,47.0,87332528128,1.7,26.5,10.1,3.39,60.9,43.21,37.98,True,True,True,BULLISH TREND,False,56.71,NEUTRAL,5,CSX Corporation (NASDAQ:CSX) Pays A US$0.14 Dividend In Just Two Days | Unusual Options Activity in CSX Stock Could Signal More Upside Ahead | Why Is CSX (CSX) Down 0.6% Since Last Earnings Report?,28.83,21.73,1129874944.0,143.06,23.68,21.55,65.39,WATCHLIST
VTR,https://www.tradingview.com/chart/?symbol=VTR,"Ventas, Inc.",Real Estate,88.31,42933649408,21.9,10.0,3.15,4.26,59.44,85.39,77.49,True,True,True,BULLISH TREND,False,64.64,POSITIVE,5,"Why Ventas (VTR) is a Top Dividend Stock for Your Portfolio | GRS Advisors Opens $49 Million Broadstone Net Lease Position, According to Recent SEC Filing | Here is Why Ventas (VTR) is One of the Best Large Cap Stocks to Buy Under $100",160.56,104.3,1483115264.0,93.736,2.14,4.26,65.07,WATCHLIST
HST,https://www.tradingview.com/chart/?symbol=HST,"Host Hotels & Resorts, Inc.",Real Estate,23.405,16237599744,2.8,105.3,20.75,12.09,73.03,20.62,18.17,True,True,True,WATCH - OVERBOUGHT,False,58.33,NEUTRAL,5,Top Dividend Stocks To Consider In May 2026 | 3 Dividend Stocks To Consider With Yields Up To 5.7% | Why Host Hotels (HST) is a Top Momentum Stock for the Long-Term,15.92,23.41,1190875008.0,80.482,14.87,16.37,65.02,WATCHLIST
LIN,https://www.tradingview.com/chart/?symbol=LIN,Linde plc,Basic Materials,512.175,236802719744,8.2,13.4,1.14,0.28,58.12,500.67,463.15,True,True,True,BULLISH TREND,False,52.8,NEUTRAL,5,"The Zacks Analyst Blog Highlights Texas Instruments, Linde, BHP Group, Landmark Bancorp and Global Self Storage | Linde’s New €1.6 Billion Eurobond Raise Might Change The Case For Investing In Linde (LIN) | Top Research Reports for Texas Instruments, Linde & BHP",33.94,25.99,4694499840.0,65.642,18.23,20.44,64.87,WATCHLIST
PSA,https://www.tradingview.com/chart/?symbol=PSA,Public Storage,Real Estate,306.63,53827592192,3.2,32.8,0.88,0.38,46.86,293.97,283.4,True,True,True,BULLISH TREND,False,53.61,NEUTRAL,5,"Public Storage Stock Outlook: Is Wall Street Bullish or Bearish? | How Much Do You Really Need Invested to Replace a $50,000 Salary If Half Your Income Comes From REITs? | Healthcare REITs and Storage Units Prop Up REZ While Residential Faces Headwinds",31.68,30.33,2337331968.0,107.646,20.18,39.06,64.74,WATCHLIST
BSX,https://www.tradingview.com/chart/?symbol=BSX,Boston Scientific Corporation,Healthcare,50.645,75276460032,11.6,100.0,-34.1,-15.52,36.21,61.0,85.76,False,False,False,NO CLEAR ENTRY,False,56.05,NEUTRAL,5,Why Did BSX Cut FY26 Guidance? CEO Details Three Unanticipated Factors At Bernstein Conference | Top Midday Stories: White House Refutes Iran Report of Interim Peace Deal; Zscaler Shares Plunge After Fiscal Q4 Revenue Guidance Misses Estimates | NeuroPace NPCE and the Next Wave of AI-Driven Epilepsy Care,21.19,13.45,2807124992.0,42.25,14.66,17.29,64.58,WATCHLIST
VRTX,https://www.tradingview.com/chart/?symbol=VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,439.35,111509413888,7.8,61.4,-11.57,3.13,59.4,439.08,435.41,True,True,True,BULLISH TREND,False,51.15,NEUTRAL,5,"Assessing Vertex Pharmaceuticals (VRTX) Valuation After Recent Share Price Weakness | Vertex Pharmaceuticals Incorporated (VRTX) Is a Trending Stock: Facts to Know Before Betting on It | CRISPR Therapeutics Enters 'Second Phase' as CASGEVY Momentum Builds, Pipeline Data Looms",26.04,20.46,2783225088.0,10.26,24.2,35.51,64.54,WATCHLIST
TXT,https://www.tradingview.com/chart/?symbol=TXT,Textron Inc.,Industrials,92.355,16059516928,11.8,10.6,-6.36,4.38,47.72,90.37,87.58,True,True,True,BULLISH TREND,False,70.87,POSITIVE,5,Strength in Defense Aerospace Drives RBC Bearings: Can the Momentum Sustain? | What Are Wall Street Analysts' Target Price for Textron Stock? | How Investors May Respond To Textron (TXT) Expanding Asia-Pacific Aircraft Support And Specialized Mission Contracts,17.63,12.66,622374976.0,52.674,12.25,6.15,64.52,WATCHLIST
HIG,https://www.tradingview.com/chart/?symbol=HIG,"The Hartford Insurance Group, Inc.",Financial Services,132.275,36260651008,6.1,41.4,-5.67,-3.24,46.02,135.67,133.47,False,False,True,NO CLEAR ENTRY,False,53.82,NEUTRAL,5,"Should You Buy, Sell, or Hold HIG Stock at 9.97X Forward Earnings? | Is Wall Street Bullish or Bearish on Hartford Insurance Group Stock? | Reflecting On Multi-Line Insurance Stocks’ Q1 Earnings: Hartford (NYSE:HIG)",9.31,9.18,5603250176.0,23.151,22.74,14.11,64.36,WATCHLIST
LITE,https://www.tradingview.com/chart/?symbol=LITE,Lumentum Holdings Inc.,Technology,898.44,69898633216,90.1,,28.18,4.51,46.45,858.11,450.53,True,True,True,BULLISH TREND,False,54.82,NEUTRAL,5,"How The Lumentum Holdings (LITE) Story Is Shifting With AI Deals And New Valuation Calls | Google, Meta, Amazon, and 6 other tech stocks powering the stock market's profit excitement | Nokia’s 140% Rally Turns AI Comeback Into Valuation Puzzle",159.02,49.64,93350000.0,111.445,22.83,17.68,64.34,WATCHLIST
AMP,https://www.tradingview.com/chart/?symbol=AMP,"Ameriprise Financial, Inc.",Financial Services,438.66,39434256384,9.0,66.0,-6.35,-7.87,27.13,454.88,475.85,False,False,False,NO CLEAR ENTRY,False,59.71,NEUTRAL,5,AI Could Kill the Brokerage Industry’s Cash Cow | 3 Large-Cap Stocks to Consider Right Now | 2 Value Stocks with Exciting Potential and 1 We Question,10.93,9.21,3355624960.0,56.246,66.94,20.17,64.33,WATCHLIST
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,310.62,4562186403840,16.6,21.8,17.69,16.18,87.3,272.69,261.95,True,True,True,WATCH - OVERBOUGHT,False,38.56,NEGATIVE,5,Why investors aren't loving Ferrari's new Luce EV | $1.29B bitcoin dark pool trade: What to know | $1.29 billion of BlackRock's bitcoin ETF sold in dark pool trade,37.61,32.33,101090746368.0,79.548,141.47,27.15,64.33,WATCHLIST
FCX,https://www.tradingview.com/chart/?symbol=FCX,Freeport-McMoRan Inc.,Basic Materials,63.75,91644436480,8.8,153.1,-6.15,5.25,56.44,61.48,52.18,True,True,True,BULLISH TREND,False,57.64,NEUTRAL,5,Dig For A Shiny Return From Metals Miner Freeport-McMoRan With This Strategy | FCX Leads Metal And Mining Stocks Near Buy Points On Peace Hopes | Barclays Initiates Coverage of Freeport-McMoRan (FCX) with Overweight Rating,33.73,17.1,1709874944.0,33.008,15.63,10.34,64.31,WATCHLIST
SNPS,https://www.tradingview.com/chart/?symbol=SNPS,"Synopsys, Inc.",Technology,526.1,100780777472,65.5,-82.0,27.08,5.53,62.71,458.88,470.46,True,True,False,BULLISH TREND,False,52.92,NEUTRAL,5,Stocks Rise Pre-Bell Amid Tech Rally; Middle East Uncertainty Persists | Synopsys Earnings Are Coming. AI and Merger Integration Are in Focus. | Synopsys Is the ‘Growth Trap’ Your Advisor Won’t Warn You About,80.69,30.83,3096222464.0,35.579,5.54,13.76,64.18,WATCHLIST
MCHP,https://www.tradingview.com/chart/?symbol=MCHP,Microchip Technology Incorporated,Technology,95.995,52036902912,35.1,,29.26,11.1,37.79,81.02,69.43,True,True,True,BULLISH TREND,False,68.24,POSITIVE,5,"AI Chips Today - Transforming Power: Microchip's Silicon Carbide Modules Revolutionize Efficiency | Microchip Technology Sees Demand Rebound, Margin Gains as Bookings Hit 4-Year High | Stocks Finish Mostly Higher on Iran Peace Progress",436.34,23.46,1139912448.0,87.715,3.4,4.88,64.16,WATCHLIST
ADP,https://www.tradingview.com/chart/?symbol=ADP,"Automatic Data Processing, Inc.",Technology,217.93,87114088448,7.0,10.5,2.51,10.5,61.31,207.08,246.63,True,False,False,NO CLEAR ENTRY,False,57.5,NEUTRAL,5,Data & Business Process Services Stocks Q1 In Review: ADP (NASDAQ:ADP) Vs Peers | Morgan Stanley Revises Automatic Data Processing (ADP) Target Lower Following Earnings Re-Rating | 5 Strong Buy Passive Income Giants Have Raised Their Dividends by Double Digits for Years,20.33,17.87,4749387264.0,69.259,71.21,20.12,64.15,WATCHLIST
ABNB,https://www.tradingview.com/chart/?symbol=ABNB,"Airbnb, Inc.",Consumer Cyclical,133.19,79048916992,17.9,6.0,-1.42,-5.58,36.44,134.32,128.45,False,True,True,BUY THE DIP,False,55.09,NEUTRAL,5,Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | Booking Holdings vs. Airbnb: What Their Revenue Trends Tell Investors | Airbnb moves toward ‘one-stop-shop’ travel platform in latest update,32.89,22.03,3191000064.0,33.185,32.32,19.9,64.01,WATCHLIST
BKR,https://www.tradingview.com/chart/?symbol=BKR,Baker Hughes Company,Energy,63.04,62540009472,2.5,132.5,-3.08,-7.5,38.71,63.5,53.26,False,True,True,BUY THE DIP,False,61.38,POSITIVE,5,Baker Hughes secures expanded Santos Basin contract | Sector Update: Energy Stocks Fall Late Afternoon | Sector Update: Energy Stocks Fall Tuesday Afternoon,20.14,22.65,3151249920.0,82.935,17.18,11.17,63.96,WATCHLIST
MAS,https://www.tradingview.com/chart/?symbol=MAS,Masco Corporation,Industrials,69.775,14076020736,6.5,20.0,-2.11,-5.56,44.05,65.63,67.08,True,True,False,BUY THE DIP,False,62.61,POSITIVE,5,FGI Industries vs. Masco: Which Stock Is the Better Buy Now? | Masco (MAS) Down 10.9% Since Last Earnings Report: Can It Rebound? | 3 Mid-Cap Stocks We Steer Clear Of,17.27,14.83,738499968.0,12229.63,8457.14,10.9,63.91,WATCHLIST
HAL,https://www.tradingview.com/chart/?symbol=HAL,Halliburton Company,Energy,39.78,33232121856,-0.3,133.5,11.04,-0.87,46.8,39.48,30.65,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Halliburton ESOP Shelf Filing Raises Questions On Valuation And Dilution | Oceaneering International (OII) Up 1.2% Since Last Earnings Report: Can It Continue? | 3 S&P 500 Stocks We Think Twice About,21.98,13.7,2027000064.0,74.651,14.63,6.95,63.8,WATCHLIST
TSN,https://www.tradingview.com/chart/?symbol=TSN,"Tyson Foods, Inc.",Consumer Defensive,66.5,23416604672,4.4,3602.2,2.32,4.54,40.79,64.63,58.77,True,True,True,BULLISH TREND,False,75.63,POSITIVE,5,Darling Ingredients vs. Tyson Foods: Which Stock Stands Out? | Flowers Foods' Q1 Sales Increase: Can Nature's Own Drive More? | 4 Defensive Stocks to Take Refuge in as Consumer Confidence Tanks,52.36,14.6,1029000000.0,44.41,2.62,0.81,63.75,WATCHLIST
UNH,https://www.tradingview.com/chart/?symbol=UNH,UnitedHealth Group Incorporated,Healthcare,381.69,346629636096,2.0,0.7,31.16,7.61,59.61,334.46,322.41,True,True,True,BULLISH TREND,False,52.02,NEUTRAL,5,"Berkshire Hathaway Still Has Not Sold Its Bank of America Stake. Here's What That Tells Long-Term Investors. | The Bull Case For UnitedHealth Group (UNH) Could Change Following Optum Rx’s New Transparent PBM Model | Here Are Wednesday’s Top Wall Street Analyst Research Calls: Agilent, Dollar General, FedEx, GE Aerospace, Hershey, Intuit, SanDisk, Workday, Zscaler, and More",28.76,18.29,17687500800.0,73.982,12.18,2.68,63.61,WATCHLIST
VLO,https://www.tradingview.com/chart/?symbol=VLO,Valero Energy Corporation,Energy,242.625,72043315200,6.6,,19.13,2.32,55.24,241.71,190.3,True,True,True,BULLISH TREND,False,72.53,POSITIVE,5,Stocks Finish Mostly Higher on Iran Peace Progress | Is Valero Energy a Better Pick Than SM Despite Oil Trading Above $90? | S&P 500 and Nasdaq 100 Climb to Record Highs on Tech Stock Strength,17.72,12.14,4786625024.0,42.664,15.85,3.57,63.6,WATCHLIST
IRM,https://www.tradingview.com/chart/?symbol=IRM,Iron Mountain Incorporated,Real Estate,127.77,38014726144,21.6,860.0,18.91,13.32,41.54,115.6,99.66,True,True,True,BULLISH TREND,False,66.41,POSITIVE,5,Are Business Services Stocks Lagging  Clean Harbors (CLH) This Year? | 3 Reasons Growth Investors Will Love Iron Mountain (IRM) | Record AI-Fueled Data Center Leasing Could Be A Game Changer For Iron Mountain (IRM),138.88,47.79,-499464512.0,,,3.76,63.41,WATCHLIST
NFLX,https://www.tradingview.com/chart/?symbol=NFLX,"Netflix, Inc.",Communication Services,87.61,368908075008,16.2,86.4,-8.97,-4.12,47.45,93.38,101.56,False,False,False,NO CLEAR ENTRY,False,53.06,NEUTRAL,5,Hims Insider Makes First Stock Purchase Since 2021 Amid Weight-Loss Drug Pivot | Ellison Privately Vows to Limit Enlarged Paramount’s Debt | Netflix vs. Apple: Which Streaming Giant Is the Better Buy Right Now?,28.26,22.8,25993676800.0,53.788,48.49,28.52,63.39,WATCHLIST
UDR,https://www.tradingview.com/chart/?symbol=UDR,"UDR, Inc.",Real Estate,38.205,14155550720,4.2,151.6,3.16,10.61,66.81,35.53,35.79,True,True,False,BULLISH TREND,False,58.37,NEUTRAL,5,Here’s Why UDR is Among the 10 Best Residential REITs to Buy in 2026 | Gasoline Prices Aren’t the Only Inflation Threat. Watch Housing Costs. | UDR becomes first REIT to go to a monthly dividend,25.99,63.67,1007130496.0,142.368,12.35,27.78,63.37,WATCHLIST
